combo,system,policy,length,num_samples,seed,gui_nmse_q_mean_old,gui_nmse_p_mean_old,gui_hamres_mean_old,all3_win_count_old,win_nmse_q_count_old,win_nmse_p_count_old,win_hamres_count_old,gui_nmse_q_mean_new,gui_nmse_p_mean_new,gui_hamres_mean_new,all3_win_count_new,win_nmse_q_count_new,win_nmse_p_count_new,win_hamres_count_new,d_gui_nmse_q_mean,d_gui_nmse_p_mean,d_gui_hamres_mean,all3_win_rate_old,all3_win_rate_new,d_all3_win_rate,better_q,better_p,better_h,better_all3
3dof_gp_L600_N100_seed10,3dof,gp,600,100,10,3.504984087693661,0.5465862692415495,0.0134208762430353,59,67,73,99,3.504622477001974,0.546525265363787,0.013453904936905,59,66,73,99,-0.0003616106916872752,-6.100387776253324e-05,3.302869386970046e-05,0.59,0.59,0.0,True,True,False,False
3dof_gp_L650_N100_seed10,3dof,gp,650,100,10,3.007386384555023,0.2474027314022302,0.0109898069361224,60,68,73,99,3.0063448639955173,0.2473908186861981,0.0109912220883416,60,68,73,99,-0.001041520559505571,-1.1912716032097537e-05,1.4151522192001886e-06,0.6,0.6,0.0,True,True,False,False
3dof_gp_L700_N100_seed10,3dof,gp,700,100,10,1.8853672890491109,0.3634460047648181,0.0112248727364931,57,67,71,99,1.8856614775801788,0.3632689986960756,0.0112262156308861,57,67,71,99,0.0002941885310678849,-0.00017700606874249125,1.3428943930002962e-06,0.57,0.57,0.0,False,True,False,False
3dof_gp_L750_N100_seed10,3dof,gp,750,100,10,3.709065297741254,0.2378254474290057,0.01433820814942,67,70,74,99,3.7052157167256383,0.2378455662876301,0.0142558387934695,67,70,74,99,-0.0038495810156158328,2.011885862440721e-05,-8.236935595050052e-05,0.67,0.67,0.0,True,False,True,False
3dof_gp_L800_N100_seed10,3dof,gp,800,100,10,2.304410113619145,0.4897839084098843,0.0123231330746784,59,65,70,100,2.304089982580941,0.4896650904080067,0.0123506656673271,59,65,70,100,-0.00032013103820416333,-0.00011881800187757419,2.7532592648699464e-05,0.59,0.59,0.0,True,True,False,False
3dof_gp_L850_N100_seed10,3dof,gp,850,100,10,1.8028306218539771,0.3881475124726882,0.0141514245222788,67,74,75,100,1.802294940738236,0.3880335032115557,0.0141228942887391,67,74,75,100,-0.0005356811157410934,-0.000114009261132475,-2.8530233539698566e-05,0.67,0.67,0.0,True,True,True,False
3dof_gp_L900_N100_seed10,3dof,gp,900,100,10,2.0738983487333305,0.7728511857572474,0.0163091032765805,56,65,68,99,2.073796984755415,0.7724044881521572,0.0163575562043115,56,65,68,99,-0.00010136397791526974,-0.00044669760509019607,4.845292773100057e-05,0.56,0.56,0.0,True,True,False,False
3dof_gp_L950_N100_seed10,3dof,gp,950,100,10,2.451565481630986,2.1112060033978897,0.0314585822424851,50,58,59,100,2.451163002727181,2.1055630573765067,0.0313701556785963,50,58,58,100,-0.0004024789038052923,-0.005642946021382933,-8.842656388879933e-05,0.5,0.5,0.0,True,True,True,False
3dof_gp_L1000_N100_seed10,3dof,gp,1000,100,10,2.872043787157791,0.8030522531807395,0.0330750728794373,50,62,60,99,2.871063083411446,0.8025747841092786,0.0331136630149558,50,62,60,99,-0.0009807037463449575,-0.0004774690714608454,3.859013551850421e-05,0.5,0.5,0.0,True,True,False,False
3dof_gp_L1050_N100_seed10,3dof,gp,1050,100,10,2.576841194009642,1.2399599648658113,0.0393074867269024,48,55,58,100,2.576690533850284,1.2397674356963344,0.0394174464326351,47,54,58,100,-0.00015066015935794042,-0.00019252916947687382,0.0001099597057327012,0.48,0.47,-0.010000000000000009,True,True,False,False
