guidance_method,guidance_steps,guidance_lr,guidance_after_steps,chunk_length,lambda_init,mse_qpos_baseline,mse_qpos_guided,mse_mom_baseline,mse_mom_guided,mse_total_baseline,mse_total_guided,improvement_abs,improvement_pct
adam,20,0.005,35,,1.0,0.05650832617116201,0.013893307936559822,0.9056426442014571,0.2624699536600191,0.9621509703726191,0.27636326159657887,0.6857877087760402,71.27651791594101
adam,20,0.005,40,,1.0,0.05650832617116201,0.013902933859964009,0.9056426442014571,0.263032944460709,0.9621509703726191,0.276935878320673,0.6852150920519461,71.21700368774539
adam,20,0.005,45,,1.0,0.05650832617116201,0.013937107994013627,0.9056426442014571,0.2615075347423283,0.9621509703726191,0.27544464273634195,0.6867063276362771,71.37199345860779
adam,20,0.007,35,,1.0,0.05650832617116201,0.013332525874089257,0.9056426442014571,0.2512276253475171,0.9621509703726191,0.26456015122160637,0.6975908191510127,72.50325994899238
adam,20,0.007,40,,1.0,0.05650832617116201,0.013277722895253785,0.9056426442014571,0.2517109186427879,0.9621509703726191,0.2649886415380417,0.6971623288345774,72.45872532504772
adam,20,0.007,45,,1.0,0.05650832617116201,0.013262415125480731,0.9056426442014571,0.2503665115429351,0.9621509703726191,0.2636289266684158,0.6985220437042032,72.60004564914398
adam,20,0.01,35,,1.0,0.05650832617116201,0.012906480926240662,0.9056426442014571,0.2422000200194577,0.9621509703726191,0.25510650094569837,0.7070444694269207,73.48581368193169
adam,20,0.01,40,,1.0,0.05650832617116201,0.012873126185630046,0.9056426442014571,0.2398533568519577,0.9621509703726191,0.2527264830375877,0.7094244873350314,73.73317797105037
adam,20,0.01,45,,1.0,0.05650832617116201,0.012926646760544667,0.9056426442014571,0.2391860904810224,0.9621509703726191,0.2521127372415671,0.710038233131052,73.7969668997029
adam,25,0.003,35,,1.0,0.05650832617116201,0.015224663704928294,0.9056426442014571,0.28611393081375863,0.9621509703726191,0.30133859451868694,0.6608123758539322,68.68073682844333
adam,25,0.003,40,,1.0,0.05650832617116201,0.015047377156028496,0.9056426442014571,0.2827693109418229,0.9621509703726191,0.2978166880978514,0.6643342822747678,69.0467819221225
adam,25,0.003,45,,1.0,0.05650832617116201,0.015399268473302922,0.9056426442014571,0.28366713970984686,0.9621509703726191,0.2990664081831498,0.6630845621894693,68.91689377319568
adam,25,0.005,35,,1.0,0.05650832617116201,0.013291011594843596,0.9056426442014571,0.2539872835350727,0.9621509703726191,0.2672782951299163,0.6948726752427028,72.22075294208709
adam,25,0.005,40,,1.0,0.05650832617116201,0.013214812312792593,0.9056426442014571,0.25334874502598026,0.9621509703726191,0.26656355733877285,0.6955874130338462,72.29503835187747
adam,25,0.005,45,,1.0,0.05650832617116201,0.013207513968311789,0.9056426442014571,0.25143686027086287,0.9621509703726191,0.26464437423917464,0.6975065961334445,72.49450633130017
adam,25,0.007,35,,1.0,0.05650832617116201,0.012576908981152938,0.9056426442014571,0.24237341997455428,0.9621509703726191,0.25495032895570724,0.7072006414169119,73.50204522924601
adam,25,0.007,40,,1.0,0.05650832617116201,0.012501763900700276,0.9056426442014571,0.2402956568068058,0.9621509703726191,0.2527974207075061,0.709353549665113,73.72580514993365
adam,25,0.007,45,,1.0,0.05650832617116201,0.012693612151645968,0.9056426442014571,0.24032335031491686,0.9621509703726191,0.25301696246656286,0.7091340079060562,73.70298734214494
adam,25,0.01,35,,1.0,0.05650832617116201,0.011781261816604233,0.9056426442014571,0.23019544679238294,0.9621509703726191,0.24197670860898718,0.720174261763632,74.85044280366156
adam,25,0.01,40,,1.0,0.05650832617116201,0.01168280343125646,0.9056426442014571,0.22707031559158702,0.9621509703726191,0.2387531190228435,0.7233978513497756,75.18548269713018
adam,25,0.01,45,,1.0,0.05650832617116201,0.011720936200682526,0.9056426442014571,0.224547309962068,0.9621509703726191,0.23626824616275052,0.7258827242098685,75.44374495914614
