trajectory_length,unguided_mse_qpos_mean,unguided_mse_qpos_std,unguided_mse_mom_mean,unguided_mse_mom_std,unguided_nmse_q_mean,unguided_nmse_q_std,unguided_nmse_p_mean,unguided_nmse_p_std,guided_mse_qpos_mean,guided_mse_qpos_std,guided_mse_mom_mean,guided_mse_mom_std,guided_nmse_q_mean,guided_nmse_q_std,guided_nmse_p_mean,guided_nmse_p_std
550,3.257431872138758e-06,4.152814274816037e-06,0.0003070217031907604,0.000188668527005006,0.0008980263551720605,0.003917086223920712,0.02327783753553328,0.15009467637261503,2.302578072908677e-06,2.820986643706294e-06,0.00025979488402781204,0.00013986027950633052,0.0007215140487829865,0.0030583164998332574,0.009310134519861133,0.05464728786278249
600,2.764144358426313e-06,2.8481956058946376e-06,0.00033075894098801093,0.00022245858664512815,0.00045868891576863113,0.001310952440358501,0.002809584906729877,0.014722100978540273,2.062626660393533e-06,2.1632262048737184e-06,0.00028726098002990506,0.0001566149488498617,0.00029180661171133597,0.0009206300793578916,0.0021917942443426884,0.011301962282702662
650,3.705932678570304e-06,4.285242968734108e-06,0.0003917276222909926,0.0002382781823592972,0.0004168042693883812,0.0014484226441761354,0.001069556174842623,0.00340050654832673,3.549864946538204e-06,5.574208757971947e-06,0.00034086831505186836,0.0001986498865996685,0.0006932528595439584,0.0025791865208870364,0.008800854594616991,0.05379059534556649
700,5.610309794687866e-06,9.664661731567587e-06,0.0004305499751246297,0.00028609398589100936,0.000880970201263114,0.005063871314076501,0.011636372630871335,0.05577070677752222,4.045135147455503e-06,6.1809160721310625e-06,0.0003807114660701477,0.00020297086907289654,0.0005135007863068087,0.0015015650403538197,0.005946004914754288,0.030771941131292852
750,7.395240664595856e-06,1.7749932603192018e-05,0.0004507131274781928,0.00037159972649334136,0.0006260928755969066,0.002806387270904395,0.015155632431299845,0.09989812211560216,4.686036228105489e-06,7.61930024617756e-06,0.0003797141566263253,0.00017285819218402205,0.0003618342407153855,0.0010627880619651856,0.010967269044735424,0.07535483159234442
800,6.507418705561562e-06,8.36066742189641e-06,0.00043413556330304255,0.0001837556112079097,0.0005259457221950204,0.0017208407454085482,0.012784615123604102,0.06101913910329308,4.971882525812785e-06,4.833534945779775e-06,0.0004154265046609671,0.00018445144800909437,0.007573297274294238,0.06986623013959528,0.006448980064139444,0.04087181573019354
850,7.404938027074661e-06,9.864119619121765e-06,0.0005213761708370322,0.00030626014388862984,0.00029445112744562983,0.0006267768479223333,0.00758847013139375,0.0414141060946261,7.781911901659297e-06,1.357176909883371e-05,0.000465104556545077,0.0002434555697937519,0.001083870849037764,0.006861130392187599,0.00627277270756966,0.037853936516185537
900,1.0786036040658865e-05,1.5173154534981811e-05,0.0005547250287422812,0.00028692978357752183,0.0007623636589846566,0.0019146912666815296,0.008093423514219959,0.07308714854434581,8.941880246176115e-06,1.2173250295112747e-05,0.0005006387529193851,0.00027612209440347084,0.0010461782389720366,0.005553016998151085,0.008335380068023713,0.07143225647234636
950,1.0736990501363614e-05,1.3039606214133025e-05,0.000587340287971354,0.0004058389886531834,0.000611747588833329,0.0025307048142732018,0.004524329066769546,0.022700213251894176,9.61061817583263e-06,1.6573955632003152e-05,0.0005463308338640544,0.00031355744484320964,0.0004891986886789438,0.00105729903983635,0.002099338447221214,0.007986541100091024
1000,1.3427288739889227e-05,1.995386758919246e-05,0.0006362151007891885,0.00046624344244724163,0.001925007257765588,0.007978314153819773,0.0022833801115957056,0.013876183198121075,1.3208418338044198e-05,1.460124025035038e-05,0.0006328079252908873,0.0003885533927865397,0.0013280354891166753,0.006832851630146138,0.013941711342254621,0.07763683382459065
