guidance_method,guidance_steps,guidance_lr,guidance_after_steps,chunk_length,lambda_init,mse_qpos_baseline,mse_qpos_guided,mse_mom_baseline,mse_mom_guided,mse_total_baseline,mse_total_guided,improvement_abs,improvement_pct
adam_integration,20,0.001,35,40.0,1.0,0.05041742347894885,0.0524343236140435,0.7885585179162257,0.7989668073386058,0.8389759413951745,0.8514011309526494,-0.012425189557474847,-1.4809947394692138
adam_integration,20,0.001,40,20.0,0.5,0.05041742347894885,0.05071775487857028,0.7885585179162257,0.7867975502183964,0.8389759413951745,0.8375153050969667,0.001460636298207807,0.1740975189084496
adam_integration,20,0.001,40,40.0,0.5,0.05041742347894885,0.050915130915939945,0.7885585179162257,0.7975754505533262,0.8389759413951745,0.8484905814692661,-0.00951464007409164,-1.1340778209050042
adam_integration,20,0.001,40,20.0,1.0,0.05041742347894885,0.05064776977188161,0.7885585179162257,0.7862421362267671,0.8389759413951745,0.8368899059986487,0.002086035396525854,0.24864066936852594
adam_integration,20,0.001,40,40.0,1.0,0.05041742347894885,0.05092774797369961,0.7885585179162257,0.7971517822935997,0.8389759413951745,0.8480795302672993,-0.009103588872124813,-1.0850834240831753
adam_integration,20,0.005,35,20.0,0.5,0.05041742347894885,0.056187123921900665,0.7885585179162257,0.8481510582208481,0.8389759413951745,0.9043381821427487,-0.06536224074757424,-7.79071693508638
adam_integration,20,0.005,35,40.0,0.5,0.05041742347894885,0.06347035143060205,0.7885585179162257,0.9124420476932725,0.8389759413951745,0.9759123991238746,-0.1369364577287001,-16.32185751369482
adam_integration,20,0.005,35,20.0,1.0,0.05041742347894885,0.05432318543120289,0.7885585179162257,0.8320477454150539,0.8389759413951745,0.8863709308462567,-0.047394989451082226,-5.649147623025609
adam_integration,20,0.005,35,40.0,1.0,0.05041742347894885,0.05986035467416022,0.7885585179162257,0.8771700562715418,0.8389759413951745,0.9370304109457019,-0.09805446955052743,-11.687399448840907
adam_integration,20,0.005,40,20.0,0.5,0.05041742347894885,0.05296494421333918,0.7885585179162257,0.7965783279707328,0.8389759413951745,0.849543272184072,-0.010567330788897489,-1.2595511107654116
adam_integration,20,0.005,40,40.0,0.5,0.05041742347894885,0.05571211069005166,0.7885585179162257,0.8745395738235561,0.8389759413951745,0.9302516845136077,-0.09127574311843323,-10.879423189018542
adam_integration,20,0.005,40,20.0,1.0,0.05041742347894885,0.05210039693631499,0.7885585179162257,0.7912230144870722,0.8389759413951745,0.8433234114233872,-0.004347470028212674,-0.5181876873588356
adam_integration,20,0.005,40,40.0,1.0,0.05041742347894885,0.054141463859422305,0.7885585179162257,0.8492488448527423,0.8389759413951745,0.9033903087121646,-0.06441436731699013,-7.6777371243652475
