method,length,sample_idx,rmse_p,range_p,nrmse_p
unguided_dpf,300,1,0.012825379819349392,1.163082350228299,0.017703922922879093
guided_dpf,300,1,0.019805514578145136,1.1687149683450546,0.022238442605438058
unguided_dpf,300,2,0.08014295683239356,1.4040859698633472,0.05618238207861317
guided_dpf,300,2,0.014256702843840377,1.3584463446132216,0.012845070363307723
unguided_dpf,300,3,0.0330735571293841,0.8454101808893785,0.0663682543086186
guided_dpf,300,3,0.031749599247728806,0.8467045029146436,0.05138033643314554
unguided_dpf,300,4,0.02162860358168887,1.3324562341906712,0.01876932056886592
guided_dpf,300,4,0.008972033583459096,1.3380787110899695,0.009891959517791468
unguided_dpf,300,5,0.031438780714549135,1.0891110843842793,0.03465248096523126
guided_dpf,300,5,0.015038435705572758,1.1015455651294401,0.01509475484719381
unguided_dpf,300,6,0.05188983787326756,1.008295313951122,0.3640863506926724
guided_dpf,300,6,0.010479860367684024,1.1349362664074996,0.014319431095163968
unguided_dpf,300,7,0.02594552836560037,1.4057033001261303,0.018571126256754795
guided_dpf,300,7,0.024389684648819517,1.431307249621628,0.014879183816852874
unguided_dpf,300,8,0.024572375802387598,1.2015946969727713,0.03015503764306383
guided_dpf,300,8,0.008662953167100206,1.2129953564117606,0.014174920638140465
unguided_dpf,300,9,0.017947627821064578,1.1099879691773193,0.013859202447170054
guided_dpf,300,9,0.01378995744888867,1.1078306864816836,0.011418534753901338
unguided_dpf,300,10,0.022951085596332483,0.8692656876164477,0.08337187744554482
guided_dpf,300,10,0.012762572569602755,0.8785619773206639,0.021836190518374942
unguided_dpf,300,11,0.00875428420749025,0.8248288026581273,0.012404536595958443
guided_dpf,300,11,0.00894104736259996,0.828946465854051,0.012105811811564837
unguided_dpf,300,12,0.010592508685150602,1.0212250268015712,0.01674264199425825
guided_dpf,300,12,0.010956391920960679,1.0128569639920826,0.02105953833261409
unguided_dpf,300,13,0.0963527265303727,1.3766947017007902,0.06505192636018527
guided_dpf,300,13,0.016090946632177826,1.3902401665329576,0.01129820573943116
unguided_dpf,300,14,0.016576736510349185,1.3914365794379713,0.009930615042981454
guided_dpf,300,14,0.007280945388377008,1.3901351636298098,0.005752897224573339
unguided_dpf,300,15,0.021402738446229082,1.2699244196098838,0.017860144298782406
guided_dpf,300,15,0.007550660346944345,1.263996424077628,0.006420448127642299
unguided_dpf,300,16,0.01550248260091939,1.5724857724165282,0.010432866049341023
guided_dpf,300,16,0.01073428266833592,1.5697981026618566,0.007284232109081958
unguided_dpf,300,17,0.01121449789899095,1.0037170767449777,0.018641888192254197
guided_dpf,300,17,0.006916860616805326,0.9934292583216529,0.008971757202246121
unguided_dpf,300,18,0.0281934193094265,1.2202004168071585,0.03360473726283771
guided_dpf,300,18,0.01746162356218604,1.2853025808503196,0.01656287966574968
unguided_dpf,300,19,0.02579616043231987,1.3431909346290791,0.034293390785020146
