context_fraction,unguided_mse_qpos_mean,unguided_mse_qpos_std,unguided_mse_mom_mean,unguided_mse_mom_std,unguided_nmse_q_mean,unguided_nmse_q_std,unguided_nmse_p_mean,unguided_nmse_p_std,guided_mse_qpos_mean,guided_mse_qpos_std,guided_mse_mom_mean,guided_mse_mom_std,guided_nmse_q_mean,guided_nmse_q_std,guided_nmse_p_mean,guided_nmse_p_std,unguided_mse_total_mean,unguided_mse_total_std,unguided_mse_energy_mean,unguided_mse_energy_std,guided_mse_total_mean,guided_mse_total_std,guided_mse_energy_mean,guided_mse_energy_std
0.3,0.0579314841379028,0.1826310332057979,0.9914883319414792,2.6207712022663885,0.16560276825278433,0.5220685283282507,0.15181900735494222,0.40129860293301556,0.0119651897027499,0.0339711267892565,0.2341536738645821,0.6462452802737723,0.034203655696586566,0.09710976200049509,0.035854157017686364,0.09895458554399955,1.049419816079382,2.743265523400565,0.87267756,5.5252094,0.2461188635673321,0.6684326784717547,0.20713367,0.9053205
0.35,0.0579365302312988,0.1827493670857421,0.991002507201792,2.6198164443284435,0.16561490730952572,0.522399587444213,0.15174466105516032,0.4011525253289855,0.0120059340266541,0.0337045211311216,0.2359197853433773,0.6361365028697196,0.03431965364598993,0.09634631416064904,0.03612459867959478,0.09740673440407828,1.048939037433091,2.742311310208126,0.8737432,5.534855,0.2479257193700315,0.6585442796602948,0.20795743,0.89865834
0.4,0.0578910638186756,0.1826220362127696,0.9909860313919224,2.6224753211639107,0.16548622187345147,0.5220396518942269,0.1517422268749541,0.4015598934316783,0.0120042299412396,0.0336336083918968,0.2350268074793196,0.6485221566551146,0.03431504844509442,0.09614435136620621,0.0359878848061367,0.09930331317624366,1.048877095210598,2.74502580349465,0.8725693,5.5289707,0.2470310374205592,0.6706322556417308,0.20769094,0.90655255
0.45,0.0579521100636679,0.1826717832788404,0.991766240658731,2.621399632392907,0.16566199761390343,0.522185861609185,0.15186092936818543,0.40139315909381673,0.0119426897396076,0.0335098267841967,0.23382503367597,0.6352957320019557,0.034139392629067,0.09579124623188152,0.03580368585645249,0.09727756030632673,1.0497183507223988,2.7438039046901475,0.874007,5.5363865,0.2457677234155776,0.6571410146814262,0.2080311,0.90012836
0.5,0.0578832656017623,0.1824742825666956,0.9916134729467858,2.6223958957351545,0.1654651282389839,0.5216210635547767,0.15183953287418275,0.4015509860271615,0.0119306803750139,0.0334981451088306,0.2353340846651369,0.6426066414717062,0.03410504811203845,0.09575781218591081,0.036035227898567834,0.0983983123716064,1.049496738548548,2.744841394346812,0.87228185,5.5334935,0.2472647650401508,0.6645743978812518,0.20759349,0.8989098
0.55,0.0579783419677815,0.1828757945866999,0.991920678286813,2.624683372713964,0.16573795843825298,0.5227721216901285,0.15188677291570504,0.4019017811944051,0.011962054543206,0.0336657908012453,0.2360422239797658,0.6555541881200803,0.034194949897320304,0.09623765094400846,0.03614370831955394,0.10038102066478287,1.0498990202545944,2.7473337666419897,0.87429696,5.5461936,0.2480042785229719,0.6776491423906656,0.20791586,0.9016127
0.6,0.0579151119563855,0.182605855722467,0.991439096484124,2.621015137467756,0.16555555776314546,0.5219952664119176,0.1518122553051364,0.4013380354062463,0.0121001568402929,0.0338034003161125,0.2369989448051525,0.6469538087381768,0.03458938689827328,0.09663006086976685,0.03629001967281596,0.09906359062405928,1.0493542084405096,2.743457657804914,0.8739803,5.5454216,0.2490991016454454,0.6691086580321433,0.20856,0.9012176
0.65,0.0578365383525763,0.182423099695672,0.9906742698950708,2.619982663781895,0.16533120157788164,0.521473641530686,0.1516934369824395,0.4011754288779277,0.0119110278549239,0.0329578868976519,0.2349854122738455,0.644741020329895,0.034048796891636,0.0942132291707944,0.035981296690314406,0.09872365146595125,1.0485108082476473,2.7423721536951797,0.8727784,5.531818,0.2468964401287694,0.666394851778563,0.20724714,0.9018104
0.7,0.0578779864350798,0.1826370904724548,0.990973040126284,2.622892204237456,0.16544834580725207,0.5220811289903925,0.15174212111361293,0.40162871279791024,0.0119744741113467,0.0335317946830776,0.2363569513700659,0.6507681338503984,0.034229886968446754,0.09585302295349193,0.03619200895341249,0.09964845963016616,1.0488510265613638,2.745382350086302,0.87315196,5.5372863,0.2483314254814127,0.6728484088135566,0.2088027,0.9076582
0.75,0.0579166575275235,0.1827433630446655,0.9916835129781428,2.6227863125177264,0.16555872062736865,0.5223843826698689,0.15184913784867915,0.4016078064271611,0.0120243581006535,0.0339055659131684,0.2351218682312865,0.6484901609100695,0.03437244876508075,0.09692137554836387,0.036002467030102285,0.09929848641107301,1.049600170505666,2.745282036623121,0.87445873,5.5572867,0.2471462263319401,0.6707101468607284,0.20777002,0.8979914
0.8,0.0579513383544033,0.1827665324186362,0.9909366216547936,2.61986709351685,0.1656568138046434,0.5224473202920229,0.1517366664283876,0.401165816832795,0.012078718376831,0.0340191870458327,0.2364241640894752,0.6359943241459036,0.034527623657502324,0.09724555625916173,0.03620232993523611,0.09738630756437335,1.0488879600091972,2.7422684863682782,0.873431,5.5262737,0.2485028824663063,0.6582696167729046,0.20896396,0.90542316
0.85,0.0579209852455382,0.1826260754803922,0.991775184035763,2.622702289830392,0.16557463221790927,0.5220602714694914,0.15186473821251922,0.4015990751388923,0.0119509151985811,0.0338959602564032,0.2335931808352872,0.6370101680321395,0.03416323773299276,0.09689598906743666,0.035768758713468025,0.09754164448162413,1.0496961692813014,2.745183368870746,0.87365127,5.5327125,0.2455440960338683,0.6591753611023318,0.20766044,0.8975646
0.9,0.0578565583508307,0.1824717811286955,0.9906164854731984,2.621959237913845,0.16538616218969124,0.5216056476397541,0.151686084103079,0.40148204205087884,0.0120094377611293,0.0337347748231495,0.2356433209321621,0.6440846210732367,0.03432964002672335,0.0964327139285154,0.03608239224907573,0.09862411481568065,1.048473043824029,2.7443888689194718,0.87181765,5.509252,0.2476527586932914,0.6661944075465949,0.20767932,0.9007365
0.95,0.0578756515476264,0.182513617344143,0.9908332887409058,2.6198074549615,0.16544217876216108,0.5217297723608392,0.151718074187712,0.4011493621842829,0.0120224770408793,0.0336389818853538,0.2355762975912655,0.6389708793411122,0.03436721216217054,0.09615972011777804,0.036071842358300236,0.09784030510203445,1.048708940288532,2.742243024108917,0.8723286,5.519259,0.2475987746321449,0.6610170633473843,0.20910142,0.9071276
