trajectory_length,unguided_mse_qpos_mean,unguided_mse_qpos_std,unguided_mse_mom_mean,unguided_mse_mom_std,unguided_mse_total_mean,unguided_mse_total_std,unguided_mse_energy_mean,unguided_mse_energy_std,guided_mse_qpos_mean,guided_mse_qpos_std,guided_mse_mom_mean,guided_mse_mom_std,guided_mse_total_mean,guided_mse_total_std,guided_mse_energy_mean,guided_mse_energy_std,unguided_nmse_q_mean,unguided_nmse_q_std,unguided_nmse_p_mean,unguided_nmse_p_std,guided_nmse_q_mean,guided_nmse_q_std,guided_nmse_p_mean,guided_nmse_p_std
700,0.0268071144081444,0.2270106862216515,0.1448489614060094,0.7841428829312788,0.1716560758141538,0.9350934580103284,0.9874758,21.137997,0.0044335893994876,0.0246511809176586,0.028192777059761,0.0824143502331498,0.0326263664592487,0.1010957067612752,0.07354732,0.72738975,0.01193188638734865,0.10104279317313863,0.008303307739842598,0.04495013016169029,0.001973397218268567,0.010972277192733465,0.0016161200031791078,0.004724312176784591
750,0.0210394533148869,0.1745482620225636,0.1511542524069891,0.688002097183881,0.172193705721876,0.7864680359280587,0.21868896,2.454623,0.0045087222548042,0.0225326726189347,0.0419977114122905,0.1427519163583063,0.0465064336670947,0.1596682988578622,0.06619695,0.5602251,0.009364691879290322,0.0776916903420847,0.008664751626372409,0.039438965133911236,0.0020068389636181674,0.01002932600648609,0.002407472713925031,0.008183096934004751
800,0.0216674310891628,0.1298022637130473,0.1938351712508524,1.1346568994516366,0.2155026023400153,1.250547225747638,0.48488778,7.3133,0.0053212236815217,0.0429146666551416,0.0555907760409531,0.2919671196369512,0.0609119997224748,0.3340414485864045,0.18645093,3.598759,0.009644205718130195,0.05777518012062516,0.011111388456487375,0.06504296146711419,0.0023684845538726154,0.019101381785594937,0.0031866802252788007,0.016736694697214925
850,0.0279972072773899,0.1505114385302486,0.2463148197589065,0.8459782892978002,0.2743120270362965,0.9643632498778896,0.6283415,8.422808,0.00579146821015,0.0307108546998131,0.0712148209859518,0.1829572460248776,0.0770062891961018,0.2029014550913565,0.12643349,1.1464776,0.01246159848877188,0.06699286455067763,0.014119726710427155,0.04849477696685646,0.0025777910911014236,0.01366944698177633,0.0040823114542513144,0.010487823331508037
900,0.0361428691580275,0.1930583170286926,0.3922943886125901,1.6526232829904453,0.4284372577706176,1.8028723167608407,0.6261459,7.090524,0.0108615032205296,0.0603805228568692,0.1392696391866937,0.5280604596218017,0.1501311424072234,0.5807247263215296,0.19791256,1.9635059,0.01608724467469616,0.08593054328216859,0.022487845281358027,0.09473481593171679,0.0048344711948484385,0.026875460288929388,0.007983479216965817,0.030270486297740474
950,0.0391695762172212,0.1707250181917649,0.3949758124749444,1.451819437072401,0.4341453886921657,1.5755781403819382,0.7029266,7.076707,0.0112181320283985,0.0658152846506679,0.138764513317185,0.3870589845038236,0.1499826453455835,0.4324384544669225,0.30900788,3.7083535,0.017434436476403595,0.07598995884179453,0.022641554961385885,0.08322395584810224,0.004993207206235569,0.029294480824993044,0.007954523430875438,0.022187731486715927
1000,0.0463755362940777,0.2111006944100815,0.6074906461612014,2.219044948821139,0.6538661824552792,2.361402499543414,0.53124994,3.8671944,0.0093021276524403,0.0238023717971836,0.1826766753985979,0.4699806854334672,0.1919788030510382,0.4875990418320008,0.24995546,2.5470655,0.020641819995559977,0.0939612322177519,0.03482373456592154,0.12720431627368758,0.004140390816395027,0.010594470994130604,0.010471739928284795,0.02694112698535606
1050,0.057718877007635,0.3702399994999769,0.6522730004540351,1.8932021341901963,0.7099918774616703,2.0794698942618344,20.667456,607.09076,0.0136077620801612,0.0511866974722416,0.2875700518576577,0.7359592511967842,0.3011778139378191,0.7684564294163191,0.26227692,1.2227095,0.025690757773287796,0.1647943729722582,0.03739083387680851,0.10852573453975631,0.006056835086928464,0.022783274972587763,0.01648463761257983,0.0421880563543861
1100,0.0398795176722929,0.1506605067729479,0.6771869260716177,1.6836746821593702,0.7170664437439106,1.7959698620111433,1.5264096,26.414257,0.0170590806994076,0.0462372064562155,0.3661857261251066,0.6185964834922502,0.3832448068245143,0.6485820374178437,0.43368343,3.6729105,0.01775043247114635,0.06705921504662318,0.038818997319627326,0.09651480330994579,0.007593022123862128,0.0205802491795362,0.020991194858704283,0.035460364502189104
1150,0.0574345220985945,0.2598264414538292,0.8875390719884149,1.897511093019421,0.9449735940870094,2.0882309493743576,1.1217816,11.742905,0.0255388651201411,0.0742261562979698,0.5971586619672177,0.9050819584546186,0.6226975270873588,0.9519122504424912,0.47185916,2.6354666,0.025564190981476543,0.11564913450417078,0.05087720322134378,0.1087727408755289,0.011367386748003146,0.03303817227145803,0.03423146491142696,0.05188282993457727
1200,0.0705944405826527,0.2477143565420822,1.289787739022764,2.094000230461502,1.360382179605417,2.235855416673451,1.8232073,13.431672,0.0440429153495588,0.105409093151056,1.0324451038533065,1.421132816436652,1.0764880192028652,1.4873967805729784,0.7181239,1.0545584,0.03142169021947159,0.11025802754351342,0.07393566658833836,0.12003626503118185,0.01960356695306565,0.0469177437199184,0.05918378246260657,0.08146487899894053
1250,0.0838967281208444,0.2808540127191788,1.7782786482874826,2.520484682252777,1.8621753764083269,2.6773030973621506,8.699538,223.73358,0.0566297313448015,0.1001046393269813,1.4518847679951428,1.7769972791538728,1.5085144993399444,1.8479879590630828,1.1988987,1.5084745,0.037342558134644335,0.12500853766558684,0.10193787183971968,0.14448401816042247,0.025205977423178403,0.04455672345447098,0.08322770087154727,0.10186441876044716
1300,0.1040901614668779,0.2131895850829004,2.482387972249199,3.0728185390155107,2.5864781337160774,3.215304264287614,2.3946154,4.7315087,0.0821762180127388,0.136396952299471,2.091355392758022,2.3974655424707416,2.173531610770761,2.503650658849112,2.0265942,2.393241,0.046330685270855855,0.09489100055477571,0.14230016607087534,0.1761459503090423,0.036576756533411046,0.06071048579266147,0.1198846526125579,0.13743208098679097
1350,0.1203314150865829,0.2692349240240539,3.00825635868392,3.377465980172675,3.1285877737705023,3.549151512361273,4.1056266,6.891834,0.0860635452235073,0.1273473792576443,2.4287796230624408,2.6813979804610635,2.514843168285948,2.790553009225609,3.3905451,2.8797536,0.05355969134842007,0.11983686405223301,0.17244499417898218,0.19360953052066113,0.03830701164118373,0.056682507408076975,0.1392271262892858,0.15370819637673266
1400,0.1192790578844827,0.2893166860117636,3.094012082995909,3.807624612818361,3.213291140880393,4.017373363276398,8.3715925,31.372583,0.0736419959596661,0.1333961098231937,2.2533773868094813,2.7273720034819746,2.3270193827691474,2.847332751966815,6.1862373,5.1196766,0.05309128559675316,0.1287752861012071,0.1773608469576546,0.21826790203494145,0.03277816163836589,0.05937480635517631,0.12917238560127645,0.15634360678959183
1450,0.133395581121938,0.5449658937744819,3.387037979765405,3.9434668996700313,3.5204335608873434,4.228165764651693,446.45322,13731.963,0.0791256149862739,0.1090922533847449,2.733841736929512,2.938185563049607,2.812967351915786,3.04249543516207,10.6619835,6.4864535,0.05937457102946315,0.24256512769317254,0.1941582348919773,0.2260549120408454,0.03521892860122516,0.048557123803342254,0.1567144771588938,0.1684282627224377
