trajectory_length,unguided_mse_qpos_mean,unguided_mse_qpos_std,unguided_mse_mom_mean,unguided_mse_mom_std,unguided_mse_energy_mean,unguided_mse_energy_std,guided_mse_qpos_mean,guided_mse_qpos_std,guided_mse_mom_mean,guided_mse_mom_std,guided_mse_energy_mean,guided_mse_energy_std,unguided_nmse_q_mean,unguided_nmse_q_std,unguided_nmse_p_mean,unguided_nmse_p_std,guided_nmse_q_mean,guided_nmse_q_std,guided_nmse_p_mean,guided_nmse_p_std
850,0.028731644939273,0.1718439256838752,0.2364581665214703,0.9592114299054088,0.113226354,0.6943541,0.0062105183920466,0.0167636306331322,0.0844609559662033,0.1700151665376397,0.1299218,0.15584058,0.012788497781502794,0.07648798622626218,0.01355470488133758,0.054985742478017074,0.0027643109486609123,0.007461516861107639,0.004841631604267654,0.009745932828925654
900,0.0229371419089878,0.08105696789578,0.3694283336412943,1.340996184885509,0.18567921,0.8349099,0.0091677087254412,0.0263911180906384,0.1333362076848064,0.2777994787116328,0.27060947,1.2066511,0.010209355887457498,0.03607857664611509,0.02117707377578512,0.07687113454578967,0.004080560752597661,0.011746725809359362,0.007643351768103055,0.0159245502302569
950,0.0411068562732462,0.1316977190490768,0.5997799540583749,1.4095477680789814,0.33947527,1.5617574,0.0150150947090025,0.0656588748352499,0.2721713315450721,1.0117911860690854,0.22100592,1.0136015,0.01829672270300111,0.05861885010231206,0.034381727603665986,0.08080077881650936,0.00668324092758998,0.029224862584140286,0.015601922870865025,0.05799981929344655
1000,0.0210369768430155,0.0785740434721651,0.3555095381883109,0.8385284771581466,0.13643894,0.31143308,0.0106247348321046,0.0188632103891031,0.2497185534303502,0.4897237567043397,0.21309371,0.42552793,0.009363589597986891,0.03497342330212275,0.02037919410241904,0.0480677246621722,0.0047290852339505205,0.008396042924898033,0.014314842007520952,0.028072876877798837
1050,0.0334504251333142,0.1675892420904654,0.4975196542590246,1.0465737171228486,0.30623794,1.350655,0.0306829656028886,0.1342796697816144,0.5009953284045442,1.1898404606153834,0.44576785,1.9276795,0.014888833845464406,0.07459422024765845,0.02851976814906859,0.059993689712030354,0.013657033503365995,0.059768080203296395,0.028719007354883613,0.06820629854647833
1100,0.0245323122852137,0.0734442966019585,0.6459674355233084,1.888538867996432,0.20952415,0.2833921,0.037520931678245,0.1819770296636069,0.615720546822353,1.5932130166095273,0.46505937,1.8994073,0.010919368588108675,0.03269016536099326,0.037029374287556586,0.1082584179231663,0.016700622346591462,0.08099824583856183,0.03529550458894803,0.09132918761461709
1150,0.1037831566835878,0.753783287797338,1.072796873201897,2.258487155587237,4828.623,68108.62,0.0274098212372775,0.0488111487751054,0.7616353985064448,1.471435587829624,0.45175162,0.53266007,0.046194036986418455,0.33551005952164104,0.06149690335416303,0.129465297488454,0.012200152091019854,0.021725914723726675,0.0436599133191596,0.08434843016139622
1200,0.0699473934355745,0.1187508913256856,1.5110120218891046,2.113179738744799,0.8851371,0.922468,0.0476782468967905,0.1409138006964927,1.0149366244753533,1.694789258406259,0.9978528,1.5564893,0.031133688574510897,0.052856197877977684,0.0866171058084404,0.12113570929387621,0.021221658417200806,0.06272094171423455,0.058180128097945025,0.09715193419497285
1250,0.0837492987484876,0.1973473049142481,2.075137689829762,2.8264858580563392,1.6837757,1.8317223,0.0797848334258976,0.1692296307588125,1.696150574389772,2.155741304981192,2.8052304,15.966489,0.03727693710231924,0.08783957815209158,0.11895499059123875,0.16202519972491275,0.03551234770655212,0.07532435967720724,0.09722997013967384,0.1235755043667583
1300,0.1021519441475493,0.1601490415664618,2.6667811111536945,2.946929975609105,2.3341348,1.5664726,0.0932935057026687,0.1400778405346684,2.4743275069820334,2.540942223874619,2.650442,1.8583443,0.04546798186697162,0.07128257595801676,0.1528703003858049,0.16892952657535643,0.041525077775006976,0.062348854606186596,0.14183810874585254,0.14565672428159834
