trajectory_length,unguided_mse_qpos_mean,unguided_mse_qpos_std,unguided_mse_mom_mean,unguided_mse_mom_std,unguided_mse_total_mean,unguided_mse_total_std,unguided_mse_energy_mean,unguided_mse_energy_std,guided_mse_qpos_mean,guided_mse_qpos_std,guided_mse_mom_mean,guided_mse_mom_std,guided_mse_total_mean,guided_mse_total_std,guided_mse_energy_mean,guided_mse_energy_std,unguided_nmse_q_mean,unguided_nmse_q_std,unguided_nmse_p_mean,unguided_nmse_p_std,guided_nmse_q_mean,guided_nmse_q_std,guided_nmse_p_mean,guided_nmse_p_std
850,0.0253366653374928,0.1197707668294313,0.2521374379131428,0.8358637363320572,0.2774741032506357,0.9289078849584878,0.54339755,5.036394,0.0054396392708972,0.0257196996900844,0.0796582104974538,0.2766033431211105,0.0850978497683511,0.2990879559886139,0.10539825,0.69677323,0.011277387324813714,0.053310145977525335,0.014453501905754255,0.04791497131888848,0.0024211915083551957,0.011447876483325535,0.004566319491318619,0.01585598307029746
900,0.0320129271936759,0.1488140185657061,0.3949863463223462,1.611226567260375,0.4269992735160222,1.7180193780190085,0.48442832,4.3567514,0.0087032578723761,0.0393184382567348,0.1338772866647673,0.5378286858638651,0.1425805445371434,0.5675700153485357,0.12714678,0.8802958,0.014249001380221489,0.066237340406595,0.02264215880262722,0.09236179463567804,0.0038738329889560705,0.01750069519100533,0.007674368526791317,0.030830439146369553
950,0.0409450877115021,0.2167364859521238,0.413394188065054,1.6513782643184065,0.4543392757765563,1.8214208851823768,0.6414612,5.8959775,0.0149910552438775,0.1167996004223788,0.1648668946490697,0.7281914237983261,0.1798579498929473,0.8041518677657197,0.2626857,2.4968383,0.018224719276209715,0.09646973139295589,0.023697368127791787,0.09466344660275894,0.006672540926003946,0.051987675402472074,0.009450813793178092,0.041742774174014854
1000,0.0372499861365519,0.1634707388727197,0.5340303395529203,1.85890158332292,0.5712803256894723,1.9671356492051275,0.5788729,4.11722,0.0099341726522067,0.0312011375755154,0.188063973429433,0.572479043685197,0.1979981460816398,0.5924242069513324,0.18810602,0.8746865,0.016580024084077293,0.07276106835626571,0.030612703112806516,0.10655949310638624,0.004421714983333833,0.01388767261701162,0.010780560875304828,0.03281673287946527
1050,0.0622390280413276,0.5009869325033047,0.5800171800928935,1.4772820937322886,0.6422562081342211,1.7532487588415635,77.73713,2052.4014,0.0148459169873261,0.0539927714590261,0.3010403267552972,0.7166012537768582,0.3158862437426233,0.7452524852902451,0.31920838,2.054201,0.027702683703342054,0.2229900267952607,0.033248848275878595,0.08468357469568501,0.006607939672722353,0.024032262666490202,0.017256806337365295,0.04107838039782756
1100,0.040059372645192,0.1671759954535705,0.6730324287916821,1.386006693940198,0.7130918014368742,1.4892274930144205,0.46466258,1.5051929,0.0189536990020047,0.0525833167117916,0.4161594130865576,0.7258134049493241,0.4351131120885623,0.7601627809943141,0.30974913,1.3537121,0.017830486186371283,0.07441028355658791,0.03858084532264509,0.07945131257799853,0.008436319540726652,0.023404912267784034,0.023855881617295512,0.04160645685338828
1150,0.0565481188323703,0.2710952786009449,0.9565677956346708,1.884783914896992,1.0131159144670412,2.0377720476506744,1.3679855,20.432835,0.0289581689756917,0.0722001692106648,0.6723439468205585,1.0135999242600042,0.7013021157962505,1.0602559878262032,0.46511278,1.0636789,0.025169651572835506,0.1206649106339607,0.05483419904485428,0.10804316935782843,0.012889323966126768,0.03213640241365437,0.03854137884926425,0.058103503225138055
1200,0.0761198845266168,0.2699808878653574,1.435168224251032,2.186939835522258,1.5112881087776486,2.3323229989344454,1.5984895,8.620408,0.0491949460850352,0.1018036151865385,1.1867955722553425,1.6296747916513654,1.2359905183403777,1.6994937005931203,0.77650666,1.0955299,0.03388107351508707,0.12016889366452127,0.08226944334794078,0.12536392588941753,0.021896743475681456,0.04531294012973259,0.06803175366302544,0.09341931885183516
1250,0.0875328156988422,0.2781894533271514,1.9295672352677928,2.550134543498732,2.0171000509666346,2.705032447997166,8.709863,215.10242,0.0607630696974516,0.1263620389748133,1.6013269406315347,2.004369255873321,1.6620900103289864,2.082974586547369,1.3917458,1.731717,0.03896098610919494,0.12382253832772618,0.11061032404807458,0.14618366391541499,0.027045732455122762,0.056243930986586206,0.09179430940408982,0.11489826778354122
1300,0.1145832634248965,0.2742534420217059,2.7183664916044123,3.2784626698023542,2.832949755029309,3.44454985868036,6.278263,111.0902,0.0889195115837571,0.1438961476788001,2.355752235006922,2.7381638874345344,2.4446717465906795,2.854509591768773,2.4367223,3.1539493,0.05100118051729331,0.12207061385719728,0.15582737570482338,0.18793427441051397,0.039578206504523344,0.06404838877991845,0.1350409114170767,0.15696223969300355
