trajectory_length,unguided_mse_qpos_mean,unguided_mse_qpos_std,unguided_mse_mom_mean,unguided_mse_mom_std,unguided_mse_total_mean,unguided_mse_total_std,unguided_mse_energy_mean,unguided_mse_energy_std,guided_mse_qpos_mean,guided_mse_qpos_std,guided_mse_mom_mean,guided_mse_mom_std,guided_mse_total_mean,guided_mse_total_std,guided_mse_energy_mean,guided_mse_energy_std,unguided_nmse_q_mean,unguided_nmse_q_std,unguided_nmse_p_mean,unguided_nmse_p_std,guided_nmse_q_mean,guided_nmse_q_std,guided_nmse_p_mean,guided_nmse_p_std
550,0.0090283558837096,0.048745431955323,0.0492514662238188,0.3472608086176311,0.0582798221075285,0.3822129530713797,0.27213514,3.1755729,0.0022546324045996,0.0138976635718678,0.0120418073655283,0.0382624667288115,0.0142964397701279,0.0496013402663676,0.06467563,0.6123147,0.0040185345960341455,0.021696664069760604,0.002823286247448818,0.019906344732818708,0.0010035402276920894,0.006185870670911914,0.0006902833912603847,0.0021933539119019857
600,0.01066768273731,0.0832866423351113,0.0659866607624868,0.4719062031825045,0.0766543434997969,0.5538266290074003,0.27234867,3.8568695,0.0018788943161765,0.0067865864365268,0.0134142368514709,0.0342242559453868,0.0152931311676474,0.0386536979836908,0.10710057,1.4547653,0.00474820141026414,0.037071008046444906,0.003782612907383907,0.02705150517705031,0.0008362986471845691,0.0030207196897685177,0.0007689564052910025,0.0019618679107069846
650,0.0145539090646645,0.1125347009821865,0.0820306538082153,0.5129082683475747,0.0965845628728798,0.6007732629461368,0.23062597,2.0923302,0.0023709626107128,0.0096534049021129,0.0208446897360673,0.0702311169753555,0.0232156523467801,0.0786500478690771,0.08844627,1.1308062,0.006477966513196263,0.050089362335311784,0.004702317200334753,0.029401903562582217,0.0010553189749912708,0.00429674484129076,0.0011948989619260367,0.004025921701465972
700,0.0262728603722331,0.2604282885337699,0.1567799724158632,1.0650013756341006,0.1830528327880964,1.2322083744859773,0.8282594,15.749511,0.0042626841923873,0.0258601985525113,0.0419698994235211,0.2916380889888722,0.0462325836159084,0.3157193586660454,0.06057262,0.4525247,0.011694089123479795,0.11591701753220114,0.008987239851613725,0.06105003501170267,0.0018973270570763002,0.011510412735400476,0.002405878422192679,0.016717833376427255
750,0.0188927098890454,0.1607905723479439,0.1412391196089827,0.5729965022929221,0.1601318294980281,0.6713286750433972,0.23067166,2.4753087,0.0040271536544247,0.0152382907276829,0.0454811487248971,0.1448689381893131,0.0495083023793218,0.1547955824195807,0.077642806,0.59786063,0.00840917319608038,0.07156812226046794,0.008096377520654879,0.032846395626238645,0.001792492065255359,0.006782585806582027,0.0026071569347731823,0.008304452887020822
800,0.0210755586459246,0.121391958088817,0.1912749288640696,1.019347352514154,0.2123504875099943,1.126999202193531,0.3909815,6.208922,0.0059725223807619,0.034288583069484,0.0689943822419522,0.2962946110063433,0.0749669046227142,0.3286678033023024,0.13493034,1.9619175,0.009380762415691978,0.05403174061186897,0.010964625371549132,0.058432968241964145,0.0026583785710071494,0.01526189918613361,0.003955027240198721,0.016984763390513025
850,0.0296404577524261,0.1599594357495367,0.2706045101310363,0.9547662894806008,0.3002449678834624,1.067252524343469,0.53972864,6.6819,0.0061429283271006,0.0195989192090326,0.0967312462137096,0.3675214074564585,0.1028741745408102,0.3817361106922597,0.11687772,0.8466162,0.013193011712723045,0.07119818212765196,0.015512106552902976,0.054730929681737935,0.0027342265104938496,0.008723508011960972,0.0055450125259758525,0.02106776132510435
900,0.0299049683013444,0.1588242288125787,0.3599763363087577,1.5194018047919366,0.3898813046101021,1.6398498206378171,0.5788913,5.8722234,0.0098652911410636,0.0377599096942967,0.1387106121809053,0.3674720661798383,0.1485759033219689,0.3925394796007833,0.1328861,0.7299447,0.013310745750407815,0.07069289983610486,0.020635248402331205,0.08709804090549933,0.0043910557205487765,0.01680699181602367,0.00795143360739508,0.021064932890574494
950,0.0346625820635002,0.1550005553617163,0.4124734093073601,1.497506595202628,0.4471359913708604,1.607778791866141,0.58890855,6.0871563,0.0114623975409932,0.0435058808019296,0.1792611399454364,0.4828347545596302,0.1907235374864296,0.5108135108978705,0.22730474,1.6441993,0.015428366693140936,0.06899097711128706,0.023644585496068165,0.08584292204593919,0.005101930148222267,0.01936453207930669,0.010275948107006565,0.027677972390581815
1000,0.0475879786560915,0.1910349839422298,0.6228308926519994,2.041887292032007,0.670418871308091,2.168097193044693,0.5513322,4.669128,0.0138328608869633,0.0475523210808878,0.2302686524551952,0.5237612400999091,0.2441015133421586,0.549933247558352,0.27643093,2.760825,0.02118147988936645,0.08502995472407661,0.03570309735997781,0.11704894803002858,0.006157026899735978,0.021165608649750686,0.013199897780523709,0.03002403825707173
1050,0.0523718886059925,0.4244876041223072,0.5813303119738739,1.5286741421127208,0.6337022005798664,1.7118465195348478,6.658244,161.23465,0.0142718880302844,0.0393618532508808,0.3211572164981678,0.8429214463298526,0.3354291045284523,0.8661066258009544,0.26325396,1.1797915,0.023310805304271365,0.18894006225774143,0.03332412211978429,0.08762956746595767,0.006352438532458301,0.017520019269299265,0.01840998496344696,0.04831954679862559
1100,0.0380047544798239,0.1377288680321649,0.6640411647687697,1.53229228456653,0.7020459192485937,1.6307386085293747,0.65900344,3.6782885,0.0196953982166747,0.0550939932542177,0.4214490025697573,0.7352467693265926,0.4411444007864321,0.7722403312996331,0.347277,2.4093091,0.016915972593251886,0.06130332346097826,0.038065430980507325,0.08783697351118543,0.008766450961374427,0.024522418121025298,0.024159101529058168,0.04214721411313124
1150,0.0518144677370536,0.2038912971777534,0.9360730668650687,1.982026044094268,0.9878875346021224,2.143019235683985,0.9123863,6.2111077,0.0268059187839155,0.0616358173694389,0.6443323214965104,1.016319119428628,0.671138240280426,1.0597503147547,0.50751144,1.0113534,0.023062696448657445,0.09075231881559662,0.05365936121124624,0.11361746769013956,0.011931354213230841,0.027434193738512955,0.036935643170519575,0.05825937810384354
1200,0.070327486934818,0.224217766930021,1.3980809752200014,2.126499014464906,1.4684084621548197,2.2645229613505693,1.6769544,11.459406,0.0484651259276014,0.1182185698026346,1.1411881914827915,1.600535636300191,1.189653317410393,1.678560903345625,0.80235076,1.2827959,0.031302868754835164,0.09979966065356223,0.08014345750075438,0.1218992221565323,0.021571899441030294,0.052619260778449535,0.06541736061466107,0.09174894875175763
1250,0.0939139845576352,0.2934314922096271,2.023269850702176,2.8831403860804423,2.1171838352598105,3.0413461511173017,8.630333,211.13416,0.0683041958598341,0.1446002562264141,1.6790373225724542,2.112917396757118,1.747341518432289,2.2074341529639128,1.371542,1.7633748,0.04180125383373873,0.1306067924435663,0.11598172363856918,0.16527285836515032,0.030402298896114763,0.06436178853889955,0.09624897176116069,0.1211206708273546
