system,policy,length,n_samples,all3_win_rate,ratio_nrmse_q_mean,ratio_nrmse_q_std,imp_nrmse_q_mean,imp_nrmse_q_std,ung_nrmse_q_mean,ung_nrmse_q_std,ratio_nrmse_p_mean,ratio_nrmse_p_std,imp_nrmse_p_mean,imp_nrmse_p_std,ung_nrmse_p_mean,ung_nrmse_p_std,ratio_hamres_mean,ratio_hamres_std,imp_hamres_mean,imp_hamres_std,ung_hamres_mean,ung_hamres_std
2dof,zero,350,100,0.86,0.5963009277360536,0.2604761162336512,0.93,0.2564323999762428,0.03680202565231839,0.04131627851434609,0.5223567607057595,0.2871866873903848,0.92,0.2726599243442907,3.1066169918537008,1.7808410430412744,0.015521269070362761,0.01810312434067181,1.0,0.0,2.6279646903276443,2.3473756339516823
2dof,zero,400,100,0.79,0.6190648723020613,0.2573990025769534,0.9,0.30151134457776363,0.03872774851646328,0.0611896739154854,0.5966052640928852,0.3045622767986481,0.89,0.3144660377352201,3.3535432206026714,1.7814846449091775,0.021619981671224253,0.02779826767935981,1.0,0.0,2.7634415966272354,2.426008102828356
2dof,zero,450,100,0.81,0.6363328348478732,0.26032032961838525,0.89,0.31446603773522014,0.059240065139121036,0.0873226259795904,0.5849724441193909,0.29190761510511126,0.92,0.2726599243442907,4.132937297894213,2.24893789864873,0.01888043691267423,0.019529001277569003,1.0,0.0,3.4275593894720076,3.0062575111241037
2dof,zero,500,100,0.75,0.7065191389983689,0.2616082950942405,0.89,0.3144660377352202,0.04704940305780223,0.09795943402302812,0.6345639281953943,0.3242792145717423,0.84,0.3684529491774707,4.071634148486222,2.1621023299205966,0.01860767959907444,0.01848032378588835,1.0,0.0,2.9424272459745406,2.841052548001704
2dof,zero,550,100,0.79,0.7120974322756188,0.32956445256499617,0.85,0.35887028128263665,0.04676585759593733,0.10158501765690704,0.6309062965399778,0.29503372116052257,0.89,0.31446603773522014,4.154346648713701,2.135883946907216,0.021388106870114422,0.026351352053961073,1.0,0.0,3.4181182384490967,3.2071381397075363
2dof,zero,600,100,0.74,0.7079089734324837,0.31987871965873355,0.84,0.3684529491774708,0.04398496068193735,0.06491052892135368,0.6552429720970204,0.27244732956210904,0.88,0.3265986323710903,4.459908996064147,2.288682121759269,0.019290002239038703,0.017258948665657206,1.0,0.0,3.7373298341035843,3.3965603788492023
2dof,zero,650,100,0.81,0.6771277908580895,0.23210005169473238,0.96,0.19694638556693236,0.041058735679979905,0.06929145823690346,0.708579596090256,0.28239062250567576,0.85,0.35887028128263665,4.606144520986066,2.2881138749470047,0.02029418683362193,0.019143702097756832,1.0,0.0,2.8960596174001694,2.786215454452279
2dof,zero,700,100,0.76,0.7195640502004119,0.27593840504826095,0.87,0.33799766898963113,0.04723355395934585,0.08982323350265313,0.7122571364214676,0.2792434524666853,0.86,0.34873508801977704,5.237337475527965,3.071560930960627,0.03077522125625626,0.01695397169034867,1.0,0.0,4.348151193261146,3.3735037325304242
2dof,zero,750,100,0.66,0.7378506200143261,0.3112524587280631,0.76,0.42923469599092784,0.060770642646637854,0.13353076074266154,0.6792680734346989,0.28974856906619567,0.86,0.34873508801977693,5.42087650460119,2.8521333856761406,0.052273875627441214,0.031608266617583196,1.0,0.0,4.656409265398979,3.597567140574113
2dof,zero,800,100,0.75,0.7377079786105064,0.30479091863886487,0.84,0.3684529491774707,0.04900328647873175,0.07375192488087429,0.7135773239937593,0.2848446854067011,0.88,0.3265986323710904,5.745925940977327,3.268791121066521,0.05910209161772664,0.036796616943042634,1.0,0.0,4.683676362037659,3.724747359521954
2dof,zero,850,100,0.77,0.7543742299566136,0.28585299588188134,0.85,0.35887028128263676,0.05496490569769115,0.09685098750230615,0.718598030798908,0.2685960531678302,0.87,0.33799766898963113,5.834466375555811,3.218123962505451,0.06468641213660996,0.057830230020416325,1.0,0.0,4.392609784007073,3.6275325878922144
2dof,zero,900,100,0.66,0.7712408375062231,0.32414674171883207,0.79,0.40936018074033237,0.05819466862461822,0.13062656676730028,0.7012254161915875,0.2802294262741768,0.83,0.3775251680686369,6.319541798611735,3.429868623323839,0.07413339068410746,0.043622864268427944,1.0,0.0,5.002263986468315,3.6620199369619892
2dof,zero,950,100,0.71,0.7830596300598545,0.2976753624655078,0.76,0.42923469599092784,0.04663218650771373,0.08635024607029933,0.7246496019181987,0.24440065757694154,0.89,0.31446603773522014,6.648671496821062,3.5407500098672444,0.13425689932755971,0.09848311369652024,1.0,0.0,5.090089028477669,4.211847929296889
2dof,zero,1000,100,0.72,0.781759762540199,0.30755467166330624,0.8,0.40201512610368473,0.057350997491221925,0.12146336827464575,0.7256033720332088,0.27904080869962145,0.87,0.337997668989631,6.678543825137113,3.3622411342218705,0.17131858516571868,0.08604493225646771,1.0,0.0,6.006745082139969,4.575458003145582
3dof,gp,50,100,0.71,0.7552110142534154,0.5054322886690251,0.73,0.4461960433384736,0.9234863467319137,0.6868832350415726,0.4493918800664173,0.2002268886354096,0.98,0.1407052941362897,0.5795936643497754,1.3810533556631102,0.2124876700250007,0.25219470657820425,1.0,0.0,0.4175853175483644,0.4296708679810611
3dof,gp,100,100,0.71,0.7948148515535232,0.7064111440459382,0.72,0.451260859854213,0.7258509464158106,0.6027591094157323,0.37549793340489723,0.27564970437942976,0.95,0.21904291355759034,0.1531378289568703,0.34146490053232065,0.20574811906594323,0.2220426198819478,1.0,0.0,0.04229608281748365,0.04834400574450575
