combo,system,policy,length,num_samples,seed,sample_idx,ung_nmse_q,gui_nmse_q,d_nmse_q,ung_nmse_p,gui_nmse_p,d_nmse_p,ung_hamres,gui_hamres,d_hamres
3dof_sinusoidal_L50_N100_seed10,3dof,sinusoidal,50,100,10,55,4.4558771340346714,5.399888944816307,0.9440118107816353,9.701529670293734,2.584638387242553,-7.1168912830511815,0.30090832710266113,0.02013421058654785,-0.2807741165161133
3dof_sinusoidal_L50_N100_seed10,3dof,sinusoidal,50,100,10,56,3.508702214479353,1.2350925917427245,-2.2736096227366285,21.48171727593098,9.813627839276526,-11.668089436654453,0.3379751145839691,0.0112356748431921,-0.326739439740777
3dof_sinusoidal_L50_N100_seed10,3dof,sinusoidal,50,100,10,57,12.113047640811397,124.05409900962532,111.94105136881392,0.1695629125870006,0.003413664828811662,-0.16614924775818893,0.4014377295970917,0.09519196301698685,-0.30624576658010483
3dof_sinusoidal_L50_N100_seed10,3dof,sinusoidal,50,100,10,58,7.132894230758384,4.22024648824219,-2.912647742516194,0.8473806311891878,0.27810580615357877,-0.569274825035609,0.3941288888454437,0.01939260959625244,-0.3747362792491913
3dof_sinusoidal_L50_N100_seed10,3dof,sinusoidal,50,100,10,59,2.1269876093428866,1.4617628497254982,-0.6652247596173884,0.9606058730591439,0.2475912963044454,-0.7130145767546985,0.32989704608917236,0.031134527176618576,-0.2987625189125538
3dof_sinusoidal_L50_N100_seed10,3dof,sinusoidal,50,100,10,60,6.989325298986967,3.590266220129157,-3.39905907885781,25.558454302003458,11.080233628451017,-14.47822067355244,1.3051087856292725,1.1240813732147217,-0.18102741241455078
3dof_sinusoidal_L50_N100_seed10,3dof,sinusoidal,50,100,10,61,1.7645472637527015,0.695472999838673,-1.0690742639140285,0.16909479236655245,0.020704267961443763,-0.1483905244051087,0.3716287314891815,0.026617925614118576,-0.34501080587506294
3dof_sinusoidal_L50_N100_seed10,3dof,sinusoidal,50,100,10,62,47.71302024412489,14.966714565577142,-32.74630567854775,0.8812401109193262,0.31212401613354396,-0.5691160947857823,0.35963118076324463,0.028362354263663292,-0.33126882649958134
3dof_sinusoidal_L50_N100_seed10,3dof,sinusoidal,50,100,10,63,12.505026897560322,6.52832055811207,-5.976706339448252,5.991472400142357,0.5160953052621974,-5.47537709488016,0.17392417788505554,0.10021345317363739,-0.07371072471141815
3dof_sinusoidal_L50_N100_seed10,3dof,sinusoidal,50,100,10,64,5.510273278341007,2.2001736567264376,-3.3100996216145693,0.473240110943725,0.13235529467580423,-0.3408848162679208,0.6118338704109192,0.08175893872976303,-0.5300749316811562
3dof_sinusoidal_L50_N100_seed10,3dof,sinusoidal,50,100,10,65,133.98768632155597,14.719026741104893,-119.26865958045107,0.36651363319363495,0.049376393127269956,-0.317137240066365,0.5704153180122375,0.09011363983154297,-0.4803016781806946
3dof_sinusoidal_L50_N100_seed10,3dof,sinusoidal,50,100,10,66,15.026853906160717,3.0536840445687132,-11.973169861592003,0.6450406249277617,0.1647649376244851,-0.48027568730327663,0.16483891010284424,0.007765650749206543,-0.1570732593536377
