combo,system,policy,length,seed,sample_idx,ung_nrmse_q,gui_nrmse_q,d_nrmse_q,ung_nrmse_p,gui_nrmse_p,d_nrmse_p
3dof_gp_L350_N100_seed10,3dof,gp,350,10,52,0.5478750315842418,0.27736974101936956,-0.2705052905648722,0.03141120747334278,0.007920414620312904,-0.023490792853029872
3dof_gp_L350_N100_seed10,3dof,gp,350,10,53,0.5098836949101173,0.4823308575235446,-0.027552837386572715,0.08683469608465415,0.06536994353673602,-0.02146475254791813
3dof_gp_L350_N100_seed10,3dof,gp,350,10,54,0.41682715185233327,0.6307503574143298,0.21392320556199657,0.06956042389252158,0.02786932519791277,-0.04169109869460881
3dof_gp_L350_N100_seed10,3dof,gp,350,10,55,0.9178845396504421,0.39954814623158225,-0.5183363934188598,0.14279863886073635,0.04185888780205873,-0.10093975105867761
3dof_gp_L350_N100_seed10,3dof,gp,350,10,56,0.2065747960767704,0.25866648721791746,0.05209169114114706,0.05714858174693449,0.0982797908561814,0.041131209109246905
3dof_gp_L350_N100_seed10,3dof,gp,350,10,57,0.6163267161283628,0.058570401014255175,-0.5577563151141076,0.023687641296583184,0.009611775860480525,-0.014075865436102659
3dof_gp_L350_N100_seed10,3dof,gp,350,10,58,0.18964474566309766,0.23759027148055176,0.04794552581745409,0.05278935346931107,0.05087619410348824,-0.001913159365822835
3dof_gp_L350_N100_seed10,3dof,gp,350,10,59,0.37403823870592756,0.29476451275109694,-0.07927372595483062,0.45068658403118383,0.09807287473955427,-0.35261370929162955
3dof_gp_L350_N100_seed10,3dof,gp,350,10,60,0.28777472835789986,0.03059515811122354,-0.2571795702466763,0.030030790970347564,0.01010206634650667,-0.019928724623840894
3dof_gp_L350_N100_seed10,3dof,gp,350,10,61,0.5521938681210972,1.4230371024071686,0.8708432342860715,0.014922783007246102,0.0074898133418261495,-0.007432969665419952
3dof_gp_L350_N100_seed10,3dof,gp,350,10,62,0.2629348442648173,0.23576408759234643,-0.027170756672470847,0.0257396873366335,0.02413563401890283,-0.0016040533177306693
3dof_gp_L350_N100_seed10,3dof,gp,350,10,63,0.09006704876143647,0.07309093637242033,-0.01697611238901614,0.10230395367754506,0.036623383487074675,-0.06568057019047038
3dof_gp_L350_N100_seed10,3dof,gp,350,10,64,0.4919953645607336,0.5434256858817998,0.05143032132106623,0.029513193965888595,0.008051620578577888,-0.02146157338731071
3dof_gp_L350_N100_seed10,3dof,gp,350,10,65,0.12576056051999404,0.20268923531153282,0.07692867479153878,0.48633808879470025,0.2987002407768092,-0.18763784801789107
3dof_gp_L350_N100_seed10,3dof,gp,350,10,66,0.3354434282595933,0.4407523004175707,0.1053088721579774,0.013108642252411573,0.01613904416993427,0.003030401917522697
3dof_gp_L350_N100_seed10,3dof,gp,350,10,67,0.428127976740472,0.08989795743178501,-0.33823001930868696,0.03606532815468547,0.01668418025548636,-0.019381147899199112
3dof_gp_L350_N100_seed10,3dof,gp,350,10,68,0.04287988492440012,0.02479066250102237,-0.018089222423377748,0.04489132786099389,0.023470899647159826,-0.021420428213834063
3dof_gp_L350_N100_seed10,3dof,gp,350,10,69,0.6018031479148236,0.7375226526181969,0.13571950470337335,0.05107325338384607,0.041488615260598403,-0.009584638123247669
3dof_gp_L350_N100_seed10,3dof,gp,350,10,70,0.48773236407476395,0.5055963227056316,0.01786395863086765,0.11866430050932635,0.05479568215813368,-0.06386861835119267
3dof_gp_L350_N100_seed10,3dof,gp,350,10,71,0.7806894779844579,0.04855577354901688,-0.732133704435441,0.0912432498173507,0.006230765018178379,-0.08501248479917232
3dof_gp_L350_N100_seed10,3dof,gp,350,10,72,0.6312315637811212,1.2394419673046184,0.6082104035234972,0.09776934513335267,0.027255851866475226,-0.07051349326687745
3dof_gp_L350_N100_seed10,3dof,gp,350,10,73,1.0394623734491832,0.44655265196751626,-0.592909721481667,0.04035293935176305,0.012267605913734408,-0.028085333438028638
3dof_gp_L350_N100_seed10,3dof,gp,350,10,74,0.3615476208086505,0.14918863683514189,-0.2123589839735086,0.030298015062032512,0.02075255625498273,-0.009545458807049781
3dof_gp_L350_N100_seed10,3dof,gp,350,10,75,0.5252096937659978,0.4444177949521217,-0.0807918988138761,0.02911967885103979,0.011912107874018614,-0.017207570977021178
