trajectory_length,unguided_mse_qpos_mean,unguided_mse_qpos_std,unguided_mse_mom_mean,unguided_mse_mom_std,unguided_mse_total_mean,unguided_mse_total_std,unguided_mse_energy_mean,unguided_mse_energy_std,guided_mse_qpos_mean,guided_mse_qpos_std,guided_mse_mom_mean,guided_mse_mom_std,guided_mse_total_mean,guided_mse_total_std,guided_mse_energy_mean,guided_mse_energy_std
700,0.006140844615610174,0.023222348587032336,0.04679623736974912,0.12884939744200716,0.052937081985359284,0.14738535143021447,0.038554776,0.09968322,0.006048505105220551,0.024425495993288394,0.04554956809470992,0.13150751685756465,0.05159807319993047,0.1513331910398539,0.041153736,0.08358753
750,0.006279613826021992,0.022567854359765306,0.06410407380496269,0.17570034432023074,0.0703836876309847,0.19328919810945852,0.07194311,0.5981397,0.005799545435400473,0.021191868858525243,0.06002620369073593,0.15812489681259442,0.0658257491261364,0.17437861316685685,0.06848427,0.39557976
800,0.007858464561670182,0.02829852189297814,0.08140645636843767,0.16902625576212305,0.08926492093010785,0.1894693771934198,0.062334552,0.12563454,0.007624007283691808,0.027640523059387197,0.07943910046348725,0.1691290367973207,0.08706310774717906,0.18959680933034972,0.06382038,0.11115374
850,0.011471020575232738,0.052306604682042464,0.1080466234850278,0.29230697323899024,0.11951764406026055,0.31788719216601713,0.09023298,0.29036948,0.011646757769132002,0.05741484924289324,0.10491309463336958,0.3084654478771249,0.11655985240250161,0.3355715567622567,0.10348492,0.643305
900,0.014161484962634314,0.0551640550041113,0.1638836437220304,0.4099954990100033,0.17804512868466468,0.4468401906522751,0.15338932,0.82014966,0.013716434779639086,0.054941573498460634,0.15676230704450791,0.38591486613951376,0.170478741824147,0.4242336785368548,0.16178277,0.98440325
950,0.015505961481436428,0.07398135516056492,0.17828193308259666,0.3588192086254294,0.19378789456403306,0.39426343731445007,0.28219497,2.6345067,0.015267953031064768,0.07395637007367718,0.1736116157379159,0.3471438002461145,0.18887956876898068,0.3831665651145234,0.28204608,2.6997106
1000,0.017608637914688714,0.06349813854461869,0.2528383724748916,0.674749097221693,0.2704470103895804,0.7208920049224725,0.333459,3.6336787,0.01759566472284504,0.06648542542662472,0.24723427434283116,0.6829294696734693,0.26482993906567615,0.7311496706921475,0.35161048,3.9251564
1050,0.015714616885898258,0.042032449231856964,0.2727080929592695,0.5045830506241197,0.28842270984516777,0.5344908272897614,0.23703453,0.6371893,0.014853974163375505,0.040213396741760964,0.2623581450002815,0.47064021641335124,0.27721211916365696,0.4986433411870164,0.24332099,0.64929694
1100,0.01963688333080714,0.06826014309006441,0.34691566467672463,0.6402019362183204,0.36655254800753184,0.6936289052438207,0.2905453,0.5773576,0.018457023559707367,0.06426734872783041,0.34079520620511844,0.6480509374486538,0.35925222976482585,0.6981218135490376,0.29345438,0.58067936
1150,0.02432248871687949,0.07780794449911592,0.4443706124715817,0.7140390408549087,0.46869310118846125,0.7689860535681293,0.3927852,0.6897864,0.022234816216852558,0.06676273263476161,0.4197508398238791,0.6821514050364117,0.44198565604073164,0.7311032949719035,0.42110193,1.2251204
1200,0.02466937551451249,0.0629817532815435,0.5833146249855388,0.9068068832689076,0.6079840005000513,0.9511262159552727,0.60414684,1.0695626,0.02221191474684351,0.05911061721214043,0.5366849015220648,0.8413233949416666,0.5588968162689083,0.8819928877817137,0.6129601,1.0738813
1250,0.019244573306834583,0.02669089182690035,0.7193639251814511,0.7294326365817574,0.7386084984882857,0.7534537266886657,0.752747,0.7973441,0.017497498225977015,0.0259042256671908,0.6578773900949482,0.6841802283218428,0.6753748883209253,0.7073972512679062,0.7549852,0.8027325
1300,0.019866736044302398,0.022719364701396436,0.8583382023634663,0.7586287027566729,0.8782049384077687,0.7805159781350541,1.0309364,1.5523037,0.019404954042364603,0.022742476238571153,0.8411422724596089,0.7578690724097901,0.8605472265019736,0.7797060882286487,1.0134267,1.4648336
1350,0.02677001078228873,0.03244493707055361,1.1540723704395466,1.039087855753973,1.1808423812218352,1.0703599720815478,1.4395425,4.6848474,0.026147569558794607,0.03218452750002524,1.1402451542214649,1.0306929820861557,1.1663927237802596,1.0617621951780907,1.4291812,4.2993255
1400,0.036157212221744374,0.040418318563049,1.535582793737934,1.2736005213766755,1.5717400059596787,1.3118007742308555,1.8712624,3.8703938,0.03562000232152443,0.03961588558363871,1.5371362523207017,1.2975573880407667,1.5727562546422265,1.3352027713924977,1.9015948,3.5850964
1450,0.04513825821891038,0.05161900840070266,1.9130345467777234,1.6224249158518993,1.9581728049966336,1.67115726681803,2.253672,8.121598,0.04396888478890422,0.0481597240069171,1.916593271096423,1.6078017306833539,1.9605621558853275,1.65330218294584,2.283662,7.3675895
1500,0.061198646854630286,0.0629838670855888,2.3806031153054765,1.8959915413546948,2.4418017621601065,1.952318693286934,3.0397909,9.193194,0.060507459020825605,0.06033236529100808,2.417971401037961,1.9604119423276596,2.4784788600587873,2.0146859065072746,2.986387,8.45095
