combo,system,policy,length,num_samples,seed,ung_nmse_q_mean,ung_nmse_q_std,ung_nmse_q_p25,ung_nmse_q_median,ung_nmse_q_p75,ung_nmse_q_p99,gui_nmse_q_mean,gui_nmse_q_std,gui_nmse_q_p25,gui_nmse_q_median,gui_nmse_q_p75,gui_nmse_q_p99,d_nmse_q_mean,d_nmse_q_std,d_nmse_q_p25,d_nmse_q_median,d_nmse_q_p75,d_nmse_q_p99,ung_nmse_p_mean,ung_nmse_p_std,ung_nmse_p_p25,ung_nmse_p_median,ung_nmse_p_p75,ung_nmse_p_p99,gui_nmse_p_mean,gui_nmse_p_std,gui_nmse_p_p25,gui_nmse_p_median,gui_nmse_p_p75,gui_nmse_p_p99,d_nmse_p_mean,d_nmse_p_std,d_nmse_p_p25,d_nmse_p_median,d_nmse_p_p75,d_nmse_p_p99,ung_hamres_mean,ung_hamres_std,ung_hamres_p25,ung_hamres_median,ung_hamres_p75,ung_hamres_p99,gui_hamres_mean,gui_hamres_std,gui_hamres_p25,gui_hamres_median,gui_hamres_p75,gui_hamres_p99,d_hamres_mean,d_hamres_std,d_hamres_p25,d_hamres_median,d_hamres_p75,d_hamres_p99,all3_win_count,win_nmse_q_count,win_nmse_p_count,win_hamres_count
3dof_zero_L1000_N100_seed10,3dof,zero,1000,100,10,8.560662576157556,48.21432717598963,0.24421576120450342,1.0774627214223396,4.679506285746083,61.90627834813104,6.555023032853099,24.54492624328698,0.1278084152298548,0.555746436525793,2.3524980371998447,145.02263506289344,-2.0056395433044574,35.53273253615551,-0.9174952004112514,-0.12180218201718854,0.07406023329906805,96.62289849396636,2.1040486684365716,6.204659546398216,0.03220403120114811,0.1842543158967639,1.3900341189625176,36.08698686454906,0.745268402573736,1.575361701238234,0.014797756460243179,0.09406982118574832,0.6016571468583427,7.6818061324473055,-1.3587802658628352,6.0524282118001445,-0.17375033002223741,-0.01864021772410601,0.002398808069940999,4.597762900669767,0.1379387846821919,0.16443476520268258,0.035986363887786865,0.06409261748194695,0.17541298270225525,0.7518133956193929,0.02935855637770146,0.03943256080111405,0.007098168367519975,0.014287452213466167,0.03582043666392565,0.1898140525817874,-0.10858022830449045,0.14664168541533384,-0.12547289626672864,-0.04912664508447051,-0.012718539917841554,-0.00016530346125364032,53,65,73,99
3dof_zero_L1050_N100_seed10,3dof,zero,1050,100,10,5.024345696550578,27.38258727698802,0.16501757481351076,0.8847837290914651,2.6091117182148755,19.390644025482665,2.294605997344587,4.5915187048524295,0.12363232381383274,0.7084309521560728,2.266555908686255,18.785327067180198,-2.729739699205991,26.1964937302642,-0.2734235687677294,-0.022682069885735623,0.050898057556727855,2.6582034026663477,1.5315246650026972,4.39497127990255,0.02541244942406093,0.1588536788518787,0.8320977466209103,25.695918727841576,1.2808888959221527,3.3592608279530407,0.02239915317852212,0.12569748391514715,0.6886043063155984,18.01365171919012,-0.25063576908054475,1.6232192936404597,-0.04234918191889109,-0.004836994651300266,0.01039097312411217,1.643233590176608,0.20798232592642307,0.16952522455937954,0.06392108276486397,0.16965682059526443,0.29200758039951324,0.73338072180748,0.044075678393710405,0.06081552763159217,0.015457968693226576,0.02697763964533806,0.05544538423418999,0.1521441251039526,-0.16390664753271267,0.14378072412702905,-0.23937603132799268,-0.12844928074628115,-0.04166191187687218,-0.005524738887324925,49,60,59,100
3dof_zero_L1100_N100_seed10,3dof,zero,1100,100,10,5.175104291418191,12.79656786496243,0.1615217461455323,0.9319543001772502,3.6703985011699607,66.36730058365454,4.964355413106908,12.558270902703919,0.19744581613995787,0.9207108767037249,3.4550949787153673,67.96114329059681,-0.210748878311284,6.7568123635823305,-0.08951473817024516,-0.002528947439274884,0.08496074375328799,10.467891890308092,1.1062257364827035,2.7331808018160464,0.03873794731636529,0.22879512691527215,0.8048403622197269,10.918134826445424,0.9840180954907103,2.8558940331380196,0.04295393189346149,0.21943012928827804,0.7438525535281717,8.796080502117864,-0.12220764099199326,2.4499576903638394,-0.05494967169094078,-0.004790659661558946,0.0055662958520979865,0.6185886487004921,0.41672489020973447,0.22823397321547878,0.232906524091959,0.41366244852542877,0.5530580580234528,1.015188916921616,0.1544322683289647,0.0876497172668985,0.08954978175461292,0.14392900466918945,0.20498745888471603,0.36178028404712714,-0.26229262188076974,0.14697716317287388,-0.34481287375092506,-0.26600077748298645,-0.15246045123785734,-0.0061050301603972025,44,52,61,99
3dof_zero_L1150_N100_seed10,3dof,zero,1150,100,10,11.91066287500173,50.62878379267765,0.5218355424769489,1.752461491648317,4.565577459458762,241.02126549898935,9.904049248419065,36.61266457116997,0.5385663516469381,1.4689443839944398,4.111045327095047,197.45813116645877,-2.006613626582668,14.740036809495098,-0.11048919059402973,-0.0012940311013183714,0.07213160661518392,3.3280679115727994,2.041955262999638,4.427204513557026,0.08050485749279478,0.45088682142051195,1.4492450237409882,26.396731638819716,1.935982002758423,3.8228281955438774,0.06630757985444483,0.4562767791411282,1.542549554452582,17.728275262867566,-0.1059732602412153,2.155076987100612,-0.039045262574719616,-0.0025932279598303246,0.010347073836416726,4.941789883800222,0.626707188077271,0.2501817293305871,0.44917481392621994,0.6260883510112762,0.7696457356214523,1.1173120963573462,0.3565433537214994,0.15940210511769415,0.2394348494708538,0.3520127385854721,0.44895899295806885,0.734105276465416,-0.2701638343557715,0.09743717432965712,-0.3438519090414047,-0.2755005210638046,-0.2035292536020279,-0.0325015655532479,41,52,55,100
3dof_zero_L1200_N100_seed10,3dof,zero,1200,100,10,10.965903717360854,45.97945823333203,0.4824638674594408,2.2539769511551926,6.338077697223245,85.21168206740741,16.10356069423521,69.66862664138108,0.43760890751703074,2.095283152342671,6.003375332391299,470.5078649033445,5.1376569768743545,43.39564445001354,-0.08546961317487273,-0.003996041848349598,0.3760613911913834,46.43166482044886,1.7959870423839208,5.459314610243914,0.10226581363666606,0.47416104007812926,1.8747482074617392,11.492336198142105,2.019790289823948,7.927888542228226,0.09963588520541777,0.4451950410020039,1.8891669758837426,11.96577149595325,0.223803247440027,2.5929256703846275,-0.028215788388507454,-0.0026181194583890406,0.009574643352527976,1.061247891906227,0.7775773471593856,0.28473694287433615,0.5667087286710739,0.7893096208572388,0.9658973962068558,1.3366805493831644,0.5458272138237953,0.21593874490355217,0.37617209553718567,0.5392647981643677,0.7072076797485352,0.9931871247291569,-0.23175013333559036,0.07714581072702849,-0.2795984447002411,-0.23703533411026,-0.18473901599645615,-0.04538668110966664,48,56,60,100
3dof_spline_L50_N100_seed10,3dof,spline,50,100,10,429.607895608983,3364.7069998625007,4.035144106434816,6.986148720566602,20.059216526405052,3070.068003579821,494.72732757773525,4704.538869512092,1.7083033787267587,4.210481563040675,12.066437350615828,948.9011678897373,65.11943196875227,5818.8921517390345,-9.692500074851598,-2.205366050574465,0.5688707116085148,749.7552870222421,79.3200966478055,597.7829998221027,0.3741952157291465,0.6911234944804249,3.502190120485947,950.1894847324929,196.8252511201282,1864.744866593403,0.04082756634432271,0.15758088043240767,0.6622258480099248,747.2724745054554,117.50515447232269,1276.7815274352565,-2.1857806170241156,-0.5378063923405005,-0.2735605228965044,637.7723735147231,0.3998204553499818,0.4302437154618209,0.1852044053375721,0.3462328761816025,0.49791480600833893,1.350240586996092,0.11438627080759034,0.3032552325376866,0.0163413193076849,0.031432271003723145,0.08008570410311222,1.2308829081058572,-0.28543418454239144,0.20615251081561908,-0.4025205614743754,-0.2817570697516203,-0.11852960358373821,-0.012411291226744524,71,73,98,99
3dof_spline_L100_N100_seed10,3dof,spline,100,100,10,41.77240719868576,202.89032400172565,1.8286482769479881,3.4176012476071684,11.612715225865692,567.6033137454441,16.91791400156626,66.00879090781469,0.40921610245645273,1.4555787747540232,6.545717176492701,359.3071077882565,-24.854493197119496,214.2279169212723,-5.023985296582249,-1.4597258503077186,0.006397770711205154,349.35320962697654,4.921492154634658,39.8294762717604,0.026446905569940542,0.05910825431025106,0.3418000032664934,37.461156997127496,0.05335678241902553,0.16970781995075127,0.0022156758777382305,0.005310715749389997,0.015535781381256027,0.8183357326641418,-4.868135372215632,39.76922164055968,-0.3087502426974121,-0.05063432246662134,-0.017587993696297967,0.010762905649455135,0.035666698695858944,0.03828392152474467,0.009104808559641242,0.022253037430346012,0.04932996816933155,0.168772298693657,0.00418483230721904,0.005202432498383989,0.0011388461280148476,0.0022594929905608296,0.0053037903271615505,0.030672805756330496,-0.0314818663886399,0.03658401375577316,-0.04397236366639845,-0.018190146307460964,-0.005076945119071752,-0.001076439734315495,73,75,94,100
3dof_spline_L150_N100_seed10,3dof,spline,150,100,10,15.167025974150942,30.218673928203955,1.5222604160132598,4.17896035574848,11.698750913829855,137.2534935069554,10.368908946365186,25.832846520328197,0.546933283813616,1.6992690866675493,5.897191711970064,138.55902387057353,-4.798117027785761,35.76839605062959,-8.462359677080824,-1.2934993077713897,0.9366443211661939,97.13555035657217,1.0943166795506818,4.881641500745304,0.010905616941989413,0.034610841769148845,0.13715085213058936,25.58502883957261,0.44336878760023346,3.6145152673121945,0.001646437963185454,0.003694130666081363,0.01528069490618561,2.3998886501981644,-0.6509478919504486,5.723203155054737,-0.11273181105626297,-0.023445843631679085,-0.006435139326632323,0.37894010656875404,0.053667067785281686,0.0580263109717404,0.014630645979195833,0.030304751358926296,0.06726713478565216,0.2563713049888611,0.006094796075194609,0.014898650287765235,0.0014990171184763312,0.0029757024021819234,0.006393353221938014,0.02500223508104745,-0.04757227171008708,0.05835275837647105,-0.06359145167516544,-0.02329188701696694,-0.006175885908305645,0.0021525848377496252,64,70,93,98
3dof_spline_L200_N100_seed10,3dof,spline,200,100,10,12.304397224090614,37.36678027385038,0.9037608276003593,2.3381329210829733,6.7037320418904995,131.07574876512678,5.052246064334869,11.75433179343152,0.3311677748552243,0.9396851450257436,3.7131818481772276,65.92640680270944,-7.252151159755743,38.62701444123876,-2.7773483885418178,-0.7081071357902925,0.17209438251278025,51.99339071992674,4.333476350191493,26.821745990003766,0.012363987718408652,0.032848347298171175,0.10091338410721779,63.48377030522933,0.07687566261829898,0.2890257490306481,0.0013228134378430868,0.004143025442289805,0.01618369613583413,1.3001483535448015,-4.2566006875731945,26.77889063841877,-0.08249488756887244,-0.02812029171687911,-0.005389231808958009,0.11695447526980177,0.04910541616147384,0.06348444563539321,0.010987769113853574,0.029392005875706673,0.06538600847125053,0.2422633230686198,0.006609426582581363,0.014705679509139135,0.001397450832882896,0.00268409657292068,0.005823443527333438,0.04227781154215383,-0.042495989578892474,0.0549016263071009,-0.05483624542830512,-0.02237194764893502,-0.007658670423552394,-0.0007175204332452265,68,68,96,100
3dof_spline_L250_N100_seed10,3dof,spline,250,100,10,6.063465552644634,13.381999649829178,0.2899868157038075,1.7426194736684288,5.466754146823766,73.32728197669032,6.09580762770102,16.120262580681594,0.17054009721050772,1.023942396024599,3.8146676223248073,87.26652108864546,0.03234207505638612,16.78413079745853,-2.267637544973122,-0.12374853702126304,1.10461450168194,79.7739603860012,7.285591649892566,71.19447086254556,0.004459655379839243,0.014488127258279946,0.04591753294822443,9.9455579728143,0.06437698021436718,0.16655648235108744,0.0012513181684997467,0.004531987495135627,0.021947882132959902,0.7363678422736286,-7.221214669678201,71.14128288469573,-0.027148252756722637,-0.004284743437516942,-0.001119350499973392,0.28444033705092203,0.0873019259632565,0.13876349607742353,0.018929988145828247,0.05089307017624378,0.10210503451526165,0.46513425588608165,0.014285768461413682,0.07533260564625578,0.0023127198801375926,0.004468898056074977,0.0069787801476195455,0.07003404498100636,-0.07301615750184283,0.09057964061737801,-0.08780969772487879,-0.04541017836891115,-0.009881188278086483,-0.0015668857283890236,56,59,86,100
3dof_spline_L300_N100_seed10,3dof,spline,300,100,10,18.60147137619055,65.87197457120851,0.5225749665279485,2.186144057219539,8.907702432096908,292.9467542991477,6.818801993492198,33.91734225101702,0.16325585042677526,0.8349426662197039,2.740327812725358,68.42922997480714,-11.78266938269835,71.92754630185257,-4.203958410135373,-0.4774656500830448,-0.012687920565258375,60.9347151607627,0.3796395692640152,1.4159716903162154,0.005505689351776472,0.03252987890616899,0.11150203906584015,5.259245954804374,0.05858212038630694,0.17433282701712052,0.001766565709525732,0.006566468042986384,0.027047069033424128,0.7696260028376432,-0.3210574488777083,1.383178605481298,-0.07177205802252579,-0.014892681587664984,-0.0016673324810278943,0.5319508136693274,0.05352549409959465,0.06381683332612001,0.0133977634832263,0.03148947283625603,0.0688730888068676,0.2509995560348044,0.005860652268165722,0.0076664108114159295,0.001875917165307328,0.0032987596932798624,0.0062882405472919345,0.04120646432042125,-0.04766484183142893,0.06248686061247755,-0.061512152722571045,-0.025631865370087326,-0.007228324800962582,-0.0009454151010140773,68,75,86,100
3dof_spline_L350_N100_seed10,3dof,spline,350,100,10,5.551845800491805,20.079223016949168,0.9736919718495811,2.170470140997555,4.252342485667876,37.99201700991944,11.814366735887834,94.45990900087163,0.22589444144718834,0.9006059242555362,2.6610884207474603,40.492009515954386,6.2625209353960285,96.25986740683317,-2.090878621562218,-0.624441082395442,0.019713165334970306,34.32881134475975,0.49314256912528287,2.4651033720479836,0.007193488738839692,0.026064017015316354,0.10895662756302384,7.559616323898182,0.2245723646972827,1.5174471700213599,0.0017780317568580038,0.007006877767482953,0.026654998152344258,1.623348546414984,-0.268570204428,2.610254430554534,-0.0774899899773835,-0.015740294930715572,-0.001460335529898031,1.2386823113432914,0.0500444220402278,0.05055603551156674,0.016962727531790733,0.03096582554280758,0.0642643179744482,0.2256643950939179,0.011091408137581311,0.02026143838891107,0.002102166472468525,0.004220585338771343,0.010750621790066361,0.11877089537680151,-0.03895301390264649,0.04649717413088973,-0.049613904498983175,-0.02360682003200054,-0.009675254696048796,-0.0008804888091981403,70,74,87,100
3dof_spline_L400_N100_seed10,3dof,spline,400,100,10,5.517185351049964,12.812567257552105,0.33680498449446983,1.7651894800434773,3.579530444790763,56.77112714581413,2.1805630545549084,9.434315015602042,0.07708932056211333,0.4486936222506561,1.5356841244793533,51.63858964525965,-3.3366222964950554,15.930728243911895,-2.5314477772642796,-0.6173485301809817,-0.02670357833988319,41.76221142615196,0.4386210477762363,2.1366664629592638,0.009589788013408197,0.037197989522845934,0.10574466565648291,9.839440690151314,0.0720224937798181,0.3417203012892916,0.001528671962972828,0.0062688053602086985,0.02397184576501195,1.3258085531526944,-0.3665985539964183,2.095616632747277,-0.09067282741284514,-0.024467552227016062,-0.004526788055853118,0.031192907918064065,0.04273920150706544,0.05048585942318144,0.012805819977074862,0.02471222635358572,0.04908224940299988,0.28820897042751326,0.005554713953169994,0.005750698844825198,0.001985996961593628,0.0031493903370574117,0.006800602073781192,0.0265537508763373,-0.03718448755389545,0.04936996706061916,-0.04141581043950282,-0.01950659416615963,-0.007746189716272056,-0.0019491693284362517,73,78,85,100
3dof_spline_L450_N100_seed10,3dof,spline,450,100,10,5.8474183754427065,10.204934032269154,0.4597374148909067,2.0333190992395425,5.928884199069805,53.70514147604571,5.220345127741244,15.38785036651966,0.10201543977643275,0.8657417004957644,3.647079124592106,73.49383746233333,-0.6270732477014636,14.832570661598309,-3.2827849473689943,-0.22380308449339903,0.16247808075870934,70.22508419741888,0.37454785814802016,0.9893641842903019,0.010383570487939031,0.03213970637498732,0.24911511141482623,4.58055861369655,0.09136665854984598,0.21317625006123456,0.00432769837044296,0.012603795071784465,0.04121464222963332,0.71393002773313,-0.2831811995981743,0.908856944573301,-0.08973193481670982,-0.019198092706717965,-0.00038356543879630874,0.2249657031376096,0.08425035217776894,0.08889103664002802,0.01940344739705324,0.04878159612417221,0.12234818749129772,0.40925911784172125,0.008582465912331827,0.014463219113146995,0.002795507723931223,0.0042911372147500515,0.007002502796240151,0.08123829372227201,-0.07566788626543712,0.08433240929193116,-0.11530076735652983,-0.042550645652227104,-0.01545821625040844,-0.0017543886508792563,63,66,78,100
