system,policy,length,n_samples,all3_win_rate,ratio_nmse_q_mean,ratio_nmse_q_std,imp_nmse_q_mean,imp_nmse_q_std,ratio_nmse_p_mean,ratio_nmse_p_std,imp_nmse_p_mean,imp_nmse_p_std,ratio_hamres_mean,ratio_hamres_std,imp_hamres_mean,imp_hamres_std
2dof,sinusoidal,250,100,0.95,0.38597443701041706,0.4163565787522097,0.95,0.21904291355759034,0.2613859343326282,0.30980270370952023,0.99,0.09999999999999999,0.02155281321498868,0.02365287191996366,1.0,0.0
2dof,sinusoidal,300,100,0.82,0.429844050786426,0.5056995632416625,0.9,0.30151134457776363,0.4596916301969179,0.6453501119315435,0.91,0.28762349126466136,0.01819025443749142,0.016823395340365924,1.0,0.0
2dof,sinusoidal,350,100,0.78,0.5616941701163347,0.7446466015812045,0.85,0.35887028128263676,0.579692488325458,0.8644099802866739,0.89,0.3144660377352201,0.020285241815587864,0.0227116273495503,1.0,0.0
2dof,sinusoidal,400,100,0.73,0.5382048826582825,0.8430579784570911,0.84,0.3684529491774706,0.5082800100337684,0.570230088833366,0.86,0.34873508801977704,0.024064043188020853,0.028684731643398242,1.0,0.0
2dof,sinusoidal,450,100,0.75,0.5131165911538842,0.5366574319304385,0.85,0.35887028128263676,0.46655480643074626,0.4912710307449173,0.88,0.3265986323710904,0.02081407383433515,0.019619755532625485,1.0,0.0
2dof,sinusoidal,500,100,0.75,0.5836484494084041,0.6149182524134722,0.84,0.36845294917747073,0.5066516996115278,0.5525423410016089,0.86,0.348735088019777,0.018840696847929845,0.01762217289031323,1.0,0.0
2dof,sinusoidal,550,100,0.7,0.6375502298410053,0.8212652206326873,0.84,0.3684529491774706,0.5742766331931056,0.6094187691034714,0.83,0.37752516806863684,0.02288056417635499,0.025302047914177134,1.0,0.0
2dof,sinusoidal,600,100,0.68,0.7844176636398431,1.4425120194641285,0.78,0.4163331998932266,0.6244707999638588,0.6736974764949384,0.81,0.3942772444036626,0.024153308277684117,0.020663199502532262,1.0,0.0
2dof,sinusoidal,650,100,0.78,0.5589146184815462,0.7579154998593536,0.9,0.30151134457776363,0.5874768905443981,0.5573802439545266,0.86,0.3487350880197771,0.0242039370933082,0.024002551247551945,1.0,0.0
2dof,sinusoidal,700,100,0.64,0.5825729687199288,0.8154930181032315,0.85,0.35887028128263665,0.7190801178961569,0.6000170574729391,0.75,0.4351941398892446,0.0395088128070374,0.023960160272765065,1.0,0.0
2dof,sinusoidal,750,100,0.71,0.8119565939078438,1.36709638375911,0.85,0.35887028128263665,0.5917935787851974,0.4392142037780994,0.85,0.3588702812826367,0.0642592879845353,0.03347908361207825,1.0,0.0
2dof,sinusoidal,800,100,0.7,0.7096182768745344,0.7860567438923394,0.8,0.4020151261036848,0.6982909643456593,0.560417672939681,0.83,0.37752516806863684,0.0814781772384514,0.04494694000765897,1.0,0.0
2dof,sinusoidal,850,100,0.71,0.6624711583671972,0.6429157763492651,0.84,0.3684529491774706,0.6475401045741042,0.4444231879119391,0.83,0.3775251680686368,0.08075976981298119,0.0592916131667924,1.0,0.0
2dof,sinusoidal,900,100,0.62,0.8667110954246807,1.026512263274602,0.78,0.4163331998932266,0.731118901720429,0.5943638641392633,0.77,0.4229525846816507,0.10101609465700044,0.05660315650077785,1.0,0.0
2dof,sinusoidal,950,100,0.59,0.7900754690567127,0.9363186343050187,0.75,0.4351941398892447,0.7065542148085381,0.4597296077959417,0.76,0.42923469599092795,0.15232406179453467,0.09096207417040238,1.0,0.0
2dof,sinusoidal,1000,100,0.66,0.692515889611843,0.5989930904859624,0.84,0.3684529491774707,0.7096071858991817,0.3789069220684201,0.79,0.40936018074033237,0.17434337357250201,0.08282651652207394,1.0,0.0
2dof,spline,50,100,0.94,0.1509403121834337,0.36843359491397304,0.97,0.1714466079977653,0.12521619577686802,0.3169198284214014,0.96,0.19694638556693236,0.04335525055835067,0.06331694481549116,1.0,0.0
2dof,spline,100,100,0.84,0.41160737700904093,0.6796147580806103,0.92,0.2726599243442907,0.3831544232978468,0.6678558192757347,0.92,0.2726599243442907,0.0483397059862469,0.05378532241619681,1.0,0.0
2dof,spline,150,100,0.74,0.6492468133958628,1.5804445240370402,0.87,0.3379976689896311,0.5729577246520448,0.7362416765105704,0.82,0.3861229196653691,0.04205901817919045,0.042311342566686144,1.0,0.0
2dof,spline,200,100,0.66,0.6486154212254697,0.8707054366392409,0.81,0.3942772444036625,0.573048888434957,0.6152049533287507,0.79,0.40936018074033226,0.053122638142393847,0.06777543704955669,1.0,0.0
2dof,spline,250,100,0.71,0.5979512939624921,0.7210416752490572,0.81,0.3942772444036626,0.5005742106603392,0.41524847317798763,0.87,0.33799766898963113,0.04167960277906832,0.04562189322816803,1.0,0.0
2dof,spline,300,100,0.6,0.7363239131371084,1.106829591935994,0.77,0.4229525846816506,0.7312192445786653,0.7721977558434887,0.75,0.4351941398892446,0.045200165785792015,0.044720603036501244,1.0,0.0
2dof,spline,350,100,0.64,0.7859562477874502,1.4784515904518414,0.81,0.39427724440366246,0.6576313371287287,0.5624720845929954,0.78,0.41633319989322654,0.04870062026338967,0.053482529611887306,1.0,0.0
2dof,spline,400,100,0.64,0.8738600314015528,2.235868759764112,0.82,0.38612291966536905,0.8050769021045094,0.5408611330613539,0.74,0.44084400227680814,0.06821783382242383,0.07159887904457486,1.0,0.0
2dof,spline,450,100,0.63,0.5508560777182365,0.5969016373100006,0.86,0.34873508801977704,0.8477804436309847,0.5503284580386967,0.7,0.4605661864718382,0.06420626218282158,0.07060482468703855,1.0,0.0
