combo,system,policy,length,seed,sample_idx,ung_nrmse_q,gui_nrmse_q,d_nrmse_q,ung_nrmse_p,gui_nrmse_p,d_nrmse_p
3dof_gp_L50_N100_seed10,3dof,gp,50,10,73,1.647968299999907,0.6554626685334423,-0.9925056314664648,0.06546110887674483,0.02491516784114632,-0.04054594103559851
3dof_gp_L50_N100_seed10,3dof,gp,50,10,74,0.5705194456714197,0.3579597594636363,-0.21255968620778337,0.8706647999661151,0.3754591680410982,-0.49520563192501693
3dof_gp_L50_N100_seed10,3dof,gp,50,10,75,0.4624672094957489,0.38615990146621954,-0.07630730802952934,0.11770386847417526,0.06855834812497946,-0.049145520349195795
3dof_gp_L50_N100_seed10,3dof,gp,50,10,76,0.5382445719590471,0.7066641965484969,0.1684196245894498,2.3012322074543214,1.270652602291261,-1.0305796051630605
3dof_gp_L50_N100_seed10,3dof,gp,50,10,77,0.40490300932827256,0.19023951031953448,-0.21466349900873807,0.24524762017997692,0.08986401137224552,-0.1553836088077314
3dof_gp_L50_N100_seed10,3dof,gp,50,10,78,1.0626680715377705,1.6022211064406162,0.5395530349028457,0.10261914255863518,0.05263203842813261,-0.049987104130502565
3dof_gp_L50_N100_seed10,3dof,gp,50,10,79,0.6126500856399425,0.9082118906007542,0.29556180496081175,0.286842349888289,0.1775641262618113,-0.10927822362647768
3dof_gp_L50_N100_seed10,3dof,gp,50,10,80,1.9654889385781926,0.5321978603489149,-1.4332910782292778,0.9855153668748079,0.27602498418759885,-0.709490382687209
3dof_gp_L50_N100_seed10,3dof,gp,50,10,81,0.5566187040053409,0.48022598411301426,-0.0763927198923266,0.12143362388301655,0.0596488404949575,-0.06178478338805905
3dof_gp_L50_N100_seed10,3dof,gp,50,10,82,5.174931493087115,0.9052442454471125,-4.269687247640003,0.28770959981396776,0.1226760025486936,-0.16503359726527417
3dof_gp_L50_N100_seed10,3dof,gp,50,10,83,1.081956279758663,0.3242618090737209,-0.7576944706849422,0.3059176327268192,0.1913921900189061,-0.11452544270791312
3dof_gp_L50_N100_seed10,3dof,gp,50,10,84,0.20326604557563446,0.0870266731231135,-0.11623937245252096,0.39989550225017423,0.18183355009548943,-0.2180619521546848
3dof_gp_L50_N100_seed10,3dof,gp,50,10,85,1.1966745811845765,0.8447650988821732,-0.35190948230240326,0.10547581688132222,0.038643739165293754,-0.06683207771602848
