system,policy,length,n_samples,all3_win_rate,ratio_nrmse_q_mean,ratio_nrmse_q_std,imp_nrmse_q_mean,imp_nrmse_q_std,ratio_nrmse_p_mean,ratio_nrmse_p_std,imp_nrmse_p_mean,imp_nrmse_p_std,ratio_hamres_mean,ratio_hamres_std,imp_hamres_mean,imp_hamres_std
2dof,gp,550,100,0.63,0.6740621813616214,0.4712241495687015,0.82,0.38612291966536916,0.8323827521839487,0.3243994014963352,0.71,0.4560480215720686,0.046936338240222385,0.054117456568303746,1.0,0.0
2dof,gp,600,100,0.57,0.7287776108217902,0.5005183232548293,0.78,0.41633319989322654,0.8580749732404495,0.3416580082607694,0.68,0.4688261722621507,0.04439575321543931,0.04453119528472871,1.0,0.0
2dof,gp,650,100,0.59,0.7197355398121681,0.5651340423012323,0.79,0.4093601807403323,0.8894155657591531,0.3236755856007408,0.66,0.47609522856952324,0.04899622324552493,0.04648267942872429,1.0,0.0
2dof,gp,700,100,0.56,0.7099985592299878,0.4815062816270196,0.78,0.4163331998932265,0.9014991483439502,0.31249039206114076,0.65,0.47937248544110217,0.06186803412117392,0.03501899692521027,1.0,0.0
2dof,gp,750,100,0.52,0.7319283829990357,0.504141398543483,0.8,0.40201512610368484,0.8783260872170295,0.2906238539360841,0.64,0.48241815132442184,0.09566007947755112,0.060582685076416815,1.0,0.0
2dof,gp,800,100,0.62,0.7657613487049343,0.4598182927754967,0.8,0.4020151261036848,0.8810845837395902,0.2965527654888262,0.69,0.4648231987117318,0.1096883284490249,0.0730301311791031,1.0,0.0
2dof,gp,850,100,0.62,0.7287678745714541,0.35221733640864056,0.82,0.38612291966536905,0.8762703237850213,0.31045329208918704,0.73,0.4461960433384736,0.1139906748705397,0.08567525570530761,1.0,0.0
2dof,gp,900,100,0.54,0.8084248605321279,0.5020133258575715,0.72,0.451260859854213,0.8928008905643019,0.24267764802846975,0.67,0.47258156262526074,0.13182068062988073,0.08906268206112432,1.0,0.0
2dof,gp,950,100,0.49,0.8743782966670346,0.43712275734952066,0.68,0.4688261722621506,0.9034582356593688,0.2242940355150312,0.69,0.4648231987117317,0.18256857585307185,0.10918990045869335,1.0,0.0
2dof,gp,1000,100,0.54,0.8136556366409121,0.3814270184108631,0.75,0.4351941398892447,0.8875908169610978,0.21383814863084044,0.66,0.4760952285695232,0.18399590006873226,0.08982700055282462,1.0,0.0
2dof,sinusoidal,50,100,0.97,0.2694040693816207,0.295985138650672,0.98,0.14070529413628968,0.22351108494370733,0.18204566012703818,0.99,0.1,0.03788003460290399,0.05913549038200425,1.0,0.0
2dof,sinusoidal,100,100,0.89,0.45242403200055564,0.25820196607218154,0.92,0.2726599243442907,0.36859912104414555,0.23826143996400165,0.96,0.19694638556693242,0.036436388825619864,0.04256478264609781,1.0,0.0
2dof,sinusoidal,150,100,0.88,0.5363751316208168,0.28472505353453315,0.91,0.28762349126466136,0.45994451422567956,0.25351652071078523,0.96,0.1969463855669324,0.030057824808115856,0.03293828993054119,1.0,0.0
2dof,sinusoidal,200,100,0.85,0.5499246818432405,0.3209460221928297,0.91,0.28762349126466136,0.5074362987134786,0.27394549293777304,0.93,0.2564323999762428,0.026938292806599554,0.026133647838555516,1.0,0.0
2dof,sinusoidal,250,100,0.94,0.5390291380287009,0.27034223321354606,0.95,0.21904291355759034,0.4570117757416538,0.23569300912398525,0.98,0.1407052941362897,0.02155281321498868,0.02365287191996366,1.0,0.0
2dof,sinusoidal,300,100,0.83,0.5568643462467152,0.28158038840407706,0.9,0.30151134457776363,0.5715839798381694,0.31038604770419564,0.92,0.27265992434429076,0.01819025443749142,0.016823395340365924,1.0,0.0
2dof,sinusoidal,350,100,0.77,0.623578491416517,0.37565118246053747,0.86,0.348735088019777,0.6097518146364238,0.3805210184631262,0.88,0.3265986323710905,0.020285241815587864,0.0227116273495503,1.0,0.0
2dof,sinusoidal,400,100,0.77,0.6179184833792319,0.35149269065182204,0.87,0.3379976689896311,0.6101856055930573,0.31606149127204525,0.87,0.3379976689896311,0.024064043188020853,0.028684731643398242,1.0,0.0
2dof,sinusoidal,450,100,0.79,0.6184100440921584,0.3062608703250635,0.9,0.30151134457776363,0.5830365706789025,0.29021989867112874,0.88,0.3265986323710904,0.02081407383433515,0.019619755532625485,1.0,0.0
2dof,sinusoidal,500,100,0.75,0.6634889637096577,0.32625834209654997,0.84,0.36845294917747057,0.601506890778337,0.33616487311029525,0.87,0.33799766898963113,0.018840696847929845,0.01762217289031323,1.0,0.0
2dof,sinusoidal,550,100,0.74,0.6700457913075469,0.3766155787162082,0.86,0.34873508801977704,0.6609304097702488,0.3394952577808195,0.85,0.3588702812826367,0.02288056417635499,0.025302047914177134,1.0,0.0
2dof,sinusoidal,600,100,0.72,0.7126386970448781,0.45080821693889717,0.81,0.3942772444036626,0.6861607172983142,0.32700963079037226,0.85,0.3588702812826367,0.024153308277684117,0.020663199502532262,1.0,0.0
2dof,sinusoidal,650,100,0.76,0.6372974043001234,0.348045458682133,0.89,0.31446603773522014,0.6703616983740696,0.3083925765161516,0.86,0.3487350880197771,0.0242039370933082,0.024002551247551945,1.0,0.0
2dof,sinusoidal,700,100,0.77,0.65882482703975,0.3521719644977324,0.89,0.3144660377352201,0.7508333858936485,0.30662046676810023,0.84,0.36845294917747057,0.0395088128070374,0.023960160272765065,1.0,0.0
2dof,sinusoidal,750,100,0.75,0.715895608450286,0.46358261929691397,0.88,0.32659863237109044,0.7090761734071236,0.2649377890349619,0.87,0.33799766898963113,0.0642592879845353,0.03347908361207825,1.0,0.0
2dof,sinusoidal,800,100,0.72,0.7218972727160691,0.35814110707003455,0.8,0.40201512610368484,0.7565345336747117,0.2813002565679347,0.86,0.34873508801977704,0.0814781772384514,0.04494694000765897,1.0,0.0
2dof,sinusoidal,850,100,0.71,0.7121330395479718,0.34587049526738867,0.82,0.3861229196653691,0.741840199975281,0.26062312837508383,0.85,0.35887028128263665,0.08075976981298119,0.0592916131667924,1.0,0.0
2dof,sinusoidal,900,100,0.64,0.8060908444318136,0.4076399350628913,0.75,0.43519413988924455,0.7709061643438875,0.27142505823672713,0.83,0.3775251680686369,0.10101609465700044,0.05660315650077785,1.0,0.0
2dof,sinusoidal,950,100,0.62,0.7721672030974898,0.38928775163393703,0.75,0.4351941398892446,0.7803367900685098,0.2515908681675278,0.8,0.40201512610368484,0.15232406179453467,0.09096207417040238,1.0,0.0
2dof,sinusoidal,1000,100,0.68,0.7597405092359233,0.31102167006816756,0.82,0.3861229196653691,0.8058339319204626,0.20917238865474314,0.83,0.37752516806863684,0.17434337357250201,0.08282651652207394,1.0,0.0
2dof,spline,50,100,0.96,0.2799116559163906,0.24987891768892073,0.98,0.14070529413628968,0.23708046979536535,0.24810178481577874,0.97,0.1714466079977653,0.04335525055835067,0.06331694481549116,1.0,0.0
