combo,system,policy,length,num_samples,seed,ung_nrmse_range_q_mean,ung_nrmse_range_q_std,ung_nrmse_range_q_p25,ung_nrmse_range_q_median,ung_nrmse_range_q_p75,ung_nrmse_range_q_p99,gui_nrmse_range_q_mean,gui_nrmse_range_q_std,gui_nrmse_range_q_p25,gui_nrmse_range_q_median,gui_nrmse_range_q_p75,gui_nrmse_range_q_p99,d_nrmse_range_q_mean,d_nrmse_range_q_std,d_nrmse_range_q_p25,d_nrmse_range_q_median,d_nrmse_range_q_p75,d_nrmse_range_q_p99,ung_nrmse_range_p_mean,ung_nrmse_range_p_std,ung_nrmse_range_p_p25,ung_nrmse_range_p_median,ung_nrmse_range_p_p75,ung_nrmse_range_p_p99,gui_nrmse_range_p_mean,gui_nrmse_range_p_std,gui_nrmse_range_p_p25,gui_nrmse_range_p_median,gui_nrmse_range_p_p75,gui_nrmse_range_p_p99,d_nrmse_range_p_mean,d_nrmse_range_p_std,d_nrmse_range_p_p25,d_nrmse_range_p_median,d_nrmse_range_p_p75,d_nrmse_range_p_p99
2dof_zero_L650_N100_seed10,2dof,zero,650,100,10,0.04105873567997995,0.06894413044451697,0.012266423696157484,0.019661576458357744,0.032441530242925266,0.3429733901499958,0.027755757473977558,0.050840089832509705,0.007420787112274464,0.01317939875069655,0.024771160581497673,0.25419660804465616,-0.013302978206002397,0.02800588754925564,-0.012508613218100229,-0.005872640526101808,-0.0037676008661011256,0.0012986236038789475,4.606144520986066,2.276644560241617,2.6922030739082405,4.236855038587491,6.197895831499905,9.868938449212802,3.2844153836062264,2.101071841804488,1.6350675576045337,2.7344827290824654,4.5933078418199145,8.131197281354888,-1.3217291373798394,1.2671129096184182,-2.1727995491149295,-1.2348292113401733,-0.41940937945166756,0.9366229795521759
2dof_zero_L700_N100_seed10,2dof,zero,700,100,10,0.047233553959345906,0.0893729888954343,0.01137265652211665,0.017192575176670753,0.036276704558081616,0.5147452368249356,0.03184498877033519,0.06205113393020162,0.007681399407321108,0.01251148108544479,0.024990387414399306,0.3798928280810402,-0.01538856518901071,0.03344359731621686,-0.013281612286742222,-0.004103399398085938,-0.0017711386113953703,0.006197688393502172,5.237337475527965,3.0561645386133383,2.827986585491226,4.5352029515783645,6.781283432770834,13.01073903914775,3.483965686503239,2.125540724589001,1.7030435583492818,3.1017136503356264,4.512159976283144,10.119766903278876,-1.753371789024726,1.8691991899372007,-2.5303660608890652,-1.2591787902217961,-0.3755973829667668,0.7977399717230133
2dof_zero_L750_N100_seed10,2dof,zero,750,100,10,0.0607706426466379,0.13286142940623807,0.009948382436534588,0.018611164848631512,0.048341509428192986,0.6968567351796401,0.039913676529662184,0.07969658456124049,0.007427801680533007,0.012763142172232941,0.037452199826151784,0.42676094075137805,-0.02085696611697571,0.06862124272733033,-0.010483280383398852,-0.00520684263233811,-0.0003234890466819085,0.0389103638666236,5.42087650460119,2.8378368877001297,3.3164753767772326,5.050512741234893,7.065530195264629,14.160216385536538,3.5761209025166236,2.303715231007302,1.8310553329979293,3.055706637268369,4.976704786149848,9.811962261802451,-1.844755602084567,2.087030689198551,-2.875181532543335,-1.5024162806293473,-0.4408994573566898,1.4110780975161754
2dof_zero_L800_N100_seed10,2dof,zero,800,100,10,0.04900328647873178,0.07338223871890107,0.011235661350047407,0.02002781978433666,0.0528510057306899,0.36837061999647364,0.03940089106711257,0.07934135373458674,0.006936366906166854,0.013256333038487986,0.03649526554373625,0.32905162628922097,-0.00960239541161922,0.03647208733177551,-0.011595611118075368,-0.005326338304078176,-0.0017444625732898579,0.04513855906432864,5.745925940977327,3.2524060999868527,3.3968391284504214,5.037687560077922,7.0711029271587,13.647642960216551,3.9361962247638886,2.595813361293035,2.0416720435977305,3.221902193014036,5.211584636243783,11.114608846747398,-1.809729716213437,2.166191495652766,-2.649286625506262,-1.1569220777644298,-0.32746417307214715,1.5360429019727073
2dof_zero_L850_N100_seed10,2dof,zero,850,100,10,0.0549649056976912,0.09636551583616484,0.01374691482702545,0.02349367991426465,0.04274391102192786,0.48923125040376614,0.04374021053729093,0.08863859031628397,0.009114612222607898,0.016088974316154102,0.031088899092973722,0.455926161180396,-0.011224695160400257,0.02581730417802887,-0.012418169154444075,-0.005753455682669674,-0.0013690169927947345,0.044761818262652624,5.834466375555811,3.201992913744699,3.4952736654835936,4.949604846003042,7.826979825277116,17.370017935337117,4.029999809427418,2.624182086253548,2.013330554435032,3.70500174878901,5.218787154888494,13.842086357804648,-1.8044665661283932,2.1681867568035806,-2.578618216629493,-1.150317777266707,-0.3643017153593359,0.6687886081350924
2dof_zero_L900_N100_seed10,2dof,zero,900,100,10,0.05819466862461828,0.12997179288583285,0.013516667041854304,0.02174980782554914,0.04168227690787,0.5513986550462852,0.04692895202917084,0.11341890663584799,0.007868024970936725,0.016779414655602416,0.03179485476100997,0.4879906529900015,-0.011265716595447435,0.06634954448995994,-0.01044926275882022,-0.004448919664318039,-0.0005634700377071223,0.03435986543647718,6.319541798611734,3.412676191133397,3.68782141871985,5.572931785163338,8.721359506409463,14.774321197917406,4.446959661446018,3.1196133736580376,1.87305793000407,3.784612763815846,6.532459968623024,14.000116739897193,-1.8725821371657179,1.92167758887822,-3.091860066888237,-1.430844612557204,-0.2948686728523066,1.1315782732041122
2dof_zero_L950_N100_seed10,2dof,zero,950,100,10,0.04663218650771378,0.08591741003101312,0.012847046220900153,0.02147369992087833,0.04301471990409091,0.4898339128957153,0.03286191150018404,0.06902435215949848,0.009522123323428803,0.01721167490211179,0.034382851147058975,0.19583219074746674,-0.013770275007529744,0.04585540242734623,-0.010837129724973745,-0.004760820220115916,-3.5226133883116146e-05,0.00868346556097119,6.648671496821062,3.5230017777530485,4.196125102584807,5.715572251453072,8.692864398532974,16.13143112749298,4.847827711960031,3.1784081836596685,2.459564359218394,4.015373623500102,6.337710048292783,13.226247580835988,-1.800843784861031,1.874255591437847,-3.083334714466373,-1.2201207216176115,-0.4278575183587283,1.0825486483042468
2dof_zero_L1000_N100_seed10,2dof,zero,1000,100,10,0.05735099749122198,0.1208545255019273,0.016086144806013003,0.028443976674071926,0.04916992220728889,0.7851327097057197,0.03834277776220567,0.06761943311268527,0.01092940469779524,0.02163920231170873,0.03619564899094799,0.3153217173619811,-0.019008219729016316,0.07383103867590775,-0.013325874774925287,-0.0056558700396680366,-0.0005427306896655208,0.04982864237710873,6.678543825137114,3.345387689073873,4.032048790711602,5.970359288868059,8.982713008787155,14.227690980423544,4.784387995263367,3.0184124071417044,2.1526819663784877,4.218221366746505,6.199396784462866,12.221126393128442,-1.8941558298737455,2.1454784541331153,-3.2353810811557864,-1.345885616489285,-0.25071398337383316,1.9366014401863347
3dof_gp_L50_N100_seed10,3dof,gp,50,100,10,0.9234896547791044,0.6834332796604539,0.5405942883560774,0.67446809316,1.1459794247796402,3.1290488975522956,0.6014702352284008,0.47044346038049023,0.32655377041879863,0.44856849195370607,0.6682630505372059,1.9030390775447958,-0.32201941955070346,0.6729495558925209,-0.5244702208488863,-0.18956298746596603,0.007678822437159075,0.7687694947933222,0.579583960042958,1.3740631217326675,0.12904615601649064,0.20880990971594804,0.3838622250494278,9.064120576535858,0.209516024316318,0.4330320015444584,0.05582313649992818,0.08667670593619645,0.17863148222023084,1.2973563906487888,-0.3700679357266399,1.0751871228489074,-0.20664221675738037,-0.12199482242235742,-0.06557025413403612,0.08301861727635212
3dof_gp_L100_N100_seed10,3dof,gp,100,100,10,0.7258592479180276,0.5997545564916057,0.34141853275669265,0.5456308182331236,0.8110437373850816,3.0118131689129064,0.43667057559485883,0.446167717279356,0.14812971082036114,0.26427465756764346,0.5330668211479344,1.8907926632208516,-0.28918867232316886,0.6894437089473573,-0.4469141276012506,-0.1493588977605644,0.030210226892831836,1.3147122004446044,0.15313436234972103,0.33973304650991376,0.040186185924119475,0.06111609833869033,0.12139723566822559,2.0583747400351684,0.040465754669936065,0.09414643311997783,0.013586721084520295,0.018577192455791314,0.028234001475093022,0.5513688122784152,-0.11266860767978494,0.2591189359580578,-0.09261536250146747,-0.03943113222361139,-0.021341425253079437,0.007246806131723619
