sigma,policy,L,ung_mean,ung_median,ung_std,gui_mean,gui_median,gui_std,ratio_mean,ratio_median
15,sinusoidal,500,1.4389497221685454,0.3324746468521669,9.120947014885257,0.3381836535880122,0.2943361231587459,0.21387352413773086,4.254935763162364,1.129574730019976
20,sinusoidal,500,0.7986265517355327,0.32095359812122914,3.867017717600451,0.33424079432948384,0.2866860045667263,0.2073392383941666,2.3893748617299906,1.119530053817214
30,sinusoidal,500,0.47218596369733234,0.2904500808521675,1.1591901360913384,0.3360703875682355,0.274980486722912,0.20189038327325712,1.4050210347719496,1.0562570614141202
0,sinusoidal,1000,9802.327065986266,354.20762542590796,89002.021178599,1.3177063178818162,1.1320469274188487,0.6513953976081043,7438.931522877791,312.8912917360482
1,sinusoidal,1000,1750.992725014037,65.69297172831136,15872.759874035097,1.2716723567749972,1.1054534086426782,0.6388018546638256,1376.92127668373,59.42626908986778
2,sinusoidal,1000,308.04251156767367,12.699207545273683,2776.9302956251076,1.1752776704411412,1.037736523222951,0.616875998786072,262.10190095081936,12.237410229942673
3,sinusoidal,1000,98.48219398996987,4.64756519755232,880.0098090130268,1.0854886747031238,0.9528799996118187,0.6011993259898882,90.72613679447582,4.877387708258785
5,sinusoidal,1000,22.719868932559372,1.8221436169459642,196.499043313843,0.9762165502477126,0.8510426390026984,0.5858968516596413,23.273390444767873,2.14107206083265
7,sinusoidal,1000,8.903062009347076,1.2499883958207716,72.18536570019931,0.9254319639277558,0.7940636826752197,0.577789906669852,9.620439272013407,1.5741664341196548
10,sinusoidal,1000,3.640274467023392,0.9739534980119193,24.860198708332323,0.887806410749414,0.7534836206249937,0.5670281160692554,4.10030207368132,1.292600756475704
15,sinusoidal,1000,1.6738471776122241,0.8070813070138225,7.380285597051726,0.8504586036651925,0.72064677576197,0.5459548282153575,1.9681700795294466,1.119940217814007
20,sinusoidal,1000,1.16922964472622,0.727186508696987,3.1286457447876295,0.8182257453010187,0.6952040546207056,0.5212542585080738,1.4289817344919522,1.0460044124652446
30,sinusoidal,1000,0.8599731541561291,0.6516858493033492,1.0004268824184148,0.7540871993079457,0.6373454492443751,0.46716095884638575,1.140416061889605,1.0225001999715786
0,gp,200,699.696469159368,384.9649270497671,892.103484912526,0.7264059695885298,0.47584768845152997,0.7609954146959288,963.2306154583349,809.0087151678572
1,gp,200,125.23953954310025,68.67860429555961,162.94634709875353,0.6508425456827021,0.42731329775700577,0.6680621899499487,192.42678643838516,160.72189809223795
2,gp,200,22.01094283071906,12.854131127979475,28.1672225557442,0.49684283174487065,0.33759459831240496,0.48097428309438073,44.30162100440991,38.07564218217868
3,gp,200,7.261327259479913,4.249707081068936,9.453957448343013,0.35970814963722875,0.26358294256345927,0.3170368322511643,20.186718779663664,16.122845582262183
5,gp,200,1.7510888856124682,1.0554169330160845,2.222191267061364,0.20957200249149963,0.17297009560294324,0.1402401606311156,8.355547805978967,6.10173064504062
7,gp,200,0.6989552713885909,0.38661759911704763,0.8094698244969791,0.1601002259209092,0.13859831438997822,0.0886685612067473,4.365735696924503,2.7894826918977538
10,gp,200,0.3280251344306783,0.221629822766895,0.30358739987952965,0.1516446858753097,0.13231382556289165,0.09180274058638219,2.1631165809555504,1.6750314778069018
15,gp,200,0.23203077085767898,0.19561627828695238,0.15720028208544884,0.18384458977010898,0.1521650534875626,0.12936961466662264,1.2621027964316225,1.2855532450027451
20,gp,200,0.24856418310977715,0.20635697947567677,0.17450433692088305,0.2309516174460813,0.1874300683931211,0.1713007230006254,1.0762608457063858,1.100981188583135
30,gp,200,0.34044813489366177,0.27355772403936734,0.25724123859633435,0.33675547367344705,0.27114619468831763,0.2581603926789632,1.010965408163775,1.0088938343900484
0,gp,500,14084.857896838927,261.38544976829655,116798.27012827767,0.5063701365482773,0.4183819873105233,0.37775676371992006,27815.340756170513,624.7531148474042
1,gp,500,2512.260598048525,49.430367749757764,20838.83180723488,0.46240023641289746,0.38693287799466475,0.3333305955115701,5433.08675085801,127.74920551062435
2,gp,500,440.77013247700853,9.281040745444589,3644.82824485804,0.3723814019249586,0.3169868144351307,0.24501493763392143,1183.6523795187586,29.27894891143459
3,gp,500,139.97982710828867,2.9927562519364166,1154.5955586216448,0.29191802412313966,0.24874087767971298,0.17086120117476294,479.5175889832724,12.031622143707272
5,gp,500,31.442402770132173,0.7654220830357521,257.90309320535687,0.2022722447548058,0.17978429517759242,0.09941434629373715,155.4459575422551,4.257446860303687
7,gp,500,11.663539642317534,0.3717101250778886,94.79754229844488,0.1679730479887928,0.1507813120146747,0.07782063814064938,69.43697088294621,2.4652267586165593
10,gp,500,4.118808126257331,0.23279777271761432,32.70363556211306,0.15221854142987168,0.13356239524582675,0.07005704381810426,27.058517888603603,1.7429889025959817
15,gp,500,1.3290976701226052,0.16101658420886966,9.72791956579712,0.15369451444739332,0.12965152909715227,0.07405763900849102,8.647658473051942,1.2419181272302195
20,gp,500,0.6585890953551483,0.1531601404045303,4.10374219682708,0.16470275193129674,0.13617354425542785,0.08412631056337654,3.9986526492882692,1.1247422635724293
30,gp,500,0.3375314297922667,0.1596842287991444,1.2017790911418464,0.19398990964395327,0.1528075810058782,0.11052073627364882,1.7399432290667478,1.0450020067590864
0,gp,1000,9498.55194839099,390.1819202089468,85961.53012425636,0.7235852697328212,0.65635671871408,0.30087660074882855,13127.066491967511,594.466254529066
1,gp,1000,1696.722885811962,69.60286601803574,15330.235912200835,0.6732829950506344,0.6178243483258807,0.27113385481547764,2520.0738742619806,112.65801713163086
2,gp,1000,298.1818368200457,13.108441920138095,2683.0528496006036,0.5691389028146812,0.5414683940087284,0.21335965681432534,523.9175100232737,24.209061997304296
3,gp,1000,94.9589814205099,4.438544444194621,850.6364591669845,0.47417920810532044,0.449770168404779,0.16729051095830103,200.2596904236646,9.868472290941426
5,gp,1000,21.466820830078746,1.2308535552519,190.10908445770102,0.3640855568454518,0.34792231184378275,0.12706932473189803,58.96092395445132,3.537725271854809
7,gp,1000,8.061105197522519,0.6495693328989463,69.86625115040007,0.31880475749926823,0.2934970174985442,0.11652026583774683,25.285398062295297,2.213205907287178
10,gp,1000,2.9591759128533033,0.4072483522332436,24.054419926961558,0.29383342105267735,0.26847325538703815,0.11279072379342452,10.070930332743849,1.5169047346863047
15,gp,1000,1.0733446350472904,0.31124378921123474,7.128511998816961,0.2830345849314023,0.2582878807490073,0.11234133422410564,3.792273779218294,1.2050266869225956
20,gp,1000,0.6134725351425885,0.29213416477395127,2.9987020147163808,0.28138636540936757,0.2539156862145089,0.1131351926060262,2.1801786104671206,1.1505164140475956
30,gp,1000,0.37903522462865374,0.26712525898502754,0.8746470789965128,0.2834326906943171,0.25210909848364543,0.11609296572283814,1.337302425137135,1.0595621522257603
0,zero,200,693.0389374807157,341.67715455435086,896.9091104476422,0.651131137379105,0.39562779724527297,0.7768978774633731,1064.3615359423534,863.6328309927248
1,zero,200,123.68512491611177,56.933644123957784,163.62426896966645,0.5797745987988658,0.36155389342535116,0.6815936653032721,213.33312147919807,157.46931552740335
2,zero,200,21.590633094895374,10.848897899113364,28.07652339116948,0.4341637697290446,0.27197587209537677,0.48954825453557393,49.72923721472609,39.88919243288192
3,zero,200,7.080070840971024,3.663175977473877,9.414720724154359,0.3041538016324867,0.1998370801573108,0.32136005995025946,23.277929793973026,18.33081215253066
5,zero,200,1.672343419306114,0.9019916067005977,2.214738629799336,0.15962994003354264,0.1119794601227553,0.13850351785097445,10.476376918732843,8.054973704211532
7,zero,200,0.6366413646385208,0.3426366690591821,0.8022918956186621,0.10748090543289807,0.08463583915143448,0.0772772816163271,5.9232973715129855,4.048363819564904
10,zero,200,0.26292312969890935,0.14925657426228112,0.29687404672379053,0.08895256748820496,0.07090921642902409,0.06707454516634785,2.955767743677244,2.104896680273968
15,zero,200,0.14826365862415394,0.10272136081095778,0.1322338588911351,0.10026919713025435,0.07794535210783166,0.09228909934297008,1.478656086490376,1.3178638370745999
20,zero,200,0.14238366005347208,0.10477915868171744,0.13019684453058486,0.12485607073855633,0.09210892989774744,0.12363376848481437,1.1403823555493575,1.137557007751969
30,zero,200,0.18589196644284112,0.1330223524993453,0.18735886240424737,0.18212245778873862,0.13080041918717192,0.18894998303882973,1.0206976596948583,1.0169872032978262
0,zero,500,13538.778229423102,261.2606633948009,112369.65573127735,0.27617026631231445,0.19988083188366007,0.29132219876337634,49023.30149514509,1307.082129550405
1,zero,500,2414.8347450678766,46.618986017140614,20052.198942828378,0.24977729647747168,0.18678673090460032,0.25410119556492816,9667.951327536606,249.58403517940923
2,zero,500,423.43972109586207,8.284129081792251,3506.5193283858807,0.1949315981947962,0.1529030067002134,0.1800270595401142,2172.24772698327,54.17898091457668
3,zero,500,134.34395079705044,2.7843489569857303,1110.460630678006,0.14490487176815395,0.11577079342665277,0.11764553500422509,927.118247701148,24.050530142991292
5,zero,500,30.07560332987802,0.6407306227758953,247.87250613449658,0.08809191344885636,0.07264794158545462,0.0572508056446346,341.4116251128891,8.819666583700986
7,zero,500,11.095231227956875,0.25158199816659554,91.05963250874913,0.0664128486849363,0.05358498279657477,0.04020411719785291,167.06452813962014,4.695009404438533
