trajectory_length,unguided_mse_qpos_mean,unguided_mse_qpos_std,unguided_mse_mom_mean,unguided_mse_mom_std,unguided_mse_total_mean,unguided_mse_total_std,unguided_mse_energy_mean,unguided_mse_energy_std,guided_mse_qpos_mean,guided_mse_qpos_std,guided_mse_mom_mean,guided_mse_mom_std,guided_mse_total_mean,guided_mse_total_std,guided_mse_energy_mean,guided_mse_energy_std
800,0.004695398754098588,0.01693666341586884,0.06388920271119004,0.32970137081549306,0.06858460146528861,0.34351344023627933,0.08647102,0.52614415,0.004284706962700077,0.014910606688001558,0.0581384858778427,0.3090559212250173,0.06242319284054278,0.32100523270746273,0.06434363,0.3094848
850,0.006829950267207748,0.023820731695384414,0.09177543300689936,0.3099643788022372,0.09860538327410712,0.3248097899646256,0.108174466,0.7474768,0.006420303984122677,0.02628304486727297,0.0823107983074299,0.22831101959123049,0.0887311022915526,0.24508481675936034,0.08963157,0.567791
900,0.010746862593061476,0.03904102832645926,0.1394783934045465,0.3400752633930542,0.150225255997608,0.3656644517283415,0.15673816,1.1525468,0.009383077298361034,0.029878189708247366,0.12779487626593022,0.30810004025927584,0.13717795356429127,0.3257068682772481,0.12468369,0.74778205
950,0.014648495932034801,0.06374106187122398,0.2046148455332988,0.562614012682497,0.21926334146533363,0.6056599051062522,0.20144884,1.1099049,0.012087386751204895,0.037924970126049895,0.18224589079709042,0.47837549758302655,0.19433327754829532,0.5025864192004009,0.23794316,1.9056765
1000,0.019620051087948235,0.06216076355779213,0.35028638179720833,0.8946211521647794,0.3699064328851566,0.934397754199671,0.24809244,0.97807455,0.01847709034346433,0.060313889179317626,0.3243947876350142,0.8155932195088099,0.34287187797847857,0.8536958282770926,0.26473686,2.0138295
1050,0.019495700113820326,0.0796123042544516,0.3628247294472983,0.7128444179863318,0.38232042956111867,0.7551179876614804,0.2841363,1.0810453,0.017647734060514824,0.07567316694300918,0.32992574801115926,0.6125890296899742,0.3475734820716741,0.6500772124864277,0.2286079,0.7699013
1100,0.029099277086347818,0.0853457870764181,0.5809865189058089,1.1471599609140062,0.6100857959921568,1.20416199524319,0.3719256,1.1849887,0.027041953754978802,0.0870460474548472,0.5227484450422594,0.9637398038174558,0.5497903987972381,1.0226432706271333,0.34375727,1.4580224
1150,0.03757449653074714,0.07437930871054783,0.9283728833033305,1.7474018014256978,0.9659473798340775,1.8034514289949588,0.5061827,1.1998286,0.034972832713019104,0.06954761749266074,0.8987163649529202,1.7646912448630623,0.9336891976659394,1.8184586220655332,0.48580647,1.2285831
1200,0.05285823074497653,0.1000244778772624,1.3382268533980386,1.9603339851917652,1.3910850841430153,2.034032871047725,0.71378994,1.1765956,0.04976710336641806,0.09515812243698903,1.2563729117130318,1.8474631796501546,1.3061400150794498,1.9185628304861366,0.65127224,0.9268314
1250,0.07385813548595636,0.14853334072780278,1.9394022448958856,2.5861741495582953,2.013260380381842,2.6934021728742854,1.2146385,2.3882387,0.0689569571348309,0.13941124622586737,1.8332276026923162,2.4720866284318452,1.902184559827147,2.570031201859635,1.1334455,2.2027586
1300,0.10682209042418177,0.1740966743888429,2.8770367387564444,3.5560281125543627,2.983858829180626,3.687961679643175,1.8637259,2.7694752,0.1000458931226261,0.16579258936233027,2.6981733077744554,3.326646985653164,2.7982192008970816,3.4522011020398473,1.7541504,2.5091584
1350,0.16503019577698969,0.2931054583807461,4.225528626581506,4.882737594599708,4.390558822358497,5.074410450553985,6.058846,98.59521,0.14741438285079783,0.22290073723274284,3.9892891143996376,4.645794957370057,4.136703497250435,4.8183928711364254,2.7717602,4.3221593
1400,0.19407648362901553,0.2530373746624968,5.461391973114873,5.7388202329268845,5.655468456743888,5.951191555252466,3.5991518,5.550031,0.18415094147677866,0.23973951215373662,5.274242673332034,5.5722304960399756,5.458393614808812,5.770700071394724,3.3990893,4.471109
1450,0.24790235068935126,0.37965860601451923,6.5996392911124655,6.709757173293355,6.847541641801816,6.973775617408635,4.830796,16.224197,0.2344632036028974,0.31865308449308405,6.403455046311399,6.662773471756453,6.6379182499142955,6.921037144856474,4.1462793,6.122359
1500,0.2920701274819555,0.39589280276797967,7.879976463444705,7.296652360657948,8.17204659092666,7.604930153162082,4.6952553,8.308562,0.27080514662765837,0.3910651942555767,7.446472241534191,7.068717209661706,7.71727738816185,7.359625787150988,4.5940957,7.9104834
