context_fraction,unguided_rl2_qpos_mean,unguided_rl2_qpos_std,unguided_rl2_mom_mean,unguided_rl2_mom_std,unguided_rl2_total_mean,unguided_rl2_total_std,unguided_rl2_energy_mean,unguided_rl2_energy_std,guided_rl2_qpos_mean,guided_rl2_qpos_std,guided_rl2_mom_mean,guided_rl2_mom_std,guided_rl2_total_mean,guided_rl2_total_std,guided_rl2_energy_mean,guided_rl2_energy_std
0.5,0.2305128082551841,0.28054806895179174,0.19164118364733373,0.27729422524070346,0.21107699595125895,0.25474636370008596,0.05318281,0.12235776,0.21472024706922063,0.2298041300994411,0.19269898741234337,0.2239124456826818,0.203709617240782,0.20396193811239471,0.037772737,0.05086824
0.55,0.23980378189980886,0.2666909944232659,0.20587818688137285,0.2732725680295622,0.22284098439059086,0.23251810754270688,0.045857534,0.07173419,0.20132047909326636,0.23110792197695915,0.17080184153910408,0.18110929946176046,0.18606116031618522,0.18289680705248407,0.05157711,0.1300308
0.6,0.2334668561125956,0.2721071857657147,0.1822741157934548,0.20423745265260163,0.20787048595302515,0.2062210912393459,0.03878717,0.05744669,0.19102588313273594,0.21350200018091736,0.1794387731212167,0.2552246888296058,0.18523232812697632,0.21570863329677537,0.044408634,0.05192176
0.65,0.23903803066553478,0.26621749118306093,0.17879025536523954,0.1779821331962379,0.20891414301538716,0.20210373625243103,0.04231083,0.06748955,0.21538841730151495,0.22471919049917607,0.19689724456718963,0.24803875147670817,0.2061428309343523,0.20352654257675162,0.038860448,0.047454733
0.7,0.2333608149911675,0.2751031067521757,0.17352250582724962,0.23139234125433397,0.20344166040920858,0.22450790011656577,0.036938753,0.053734362,0.22048831803328428,0.24245858402171483,0.18113683244123252,0.2204572229710614,0.20081257523725837,0.199772610459619,0.049620107,0.110435195
0.75,0.20192385755670195,0.23786343070227922,0.17973897111810505,0.278958171435455,0.19083141433740347,0.23297428084424004,0.031917866,0.047022063,0.22105430411483773,0.2552748831215057,0.16071666794275355,0.18059136647951868,0.19088548602879565,0.19530890947216417,0.05464115,0.14694703
0.8,0.23316749062634995,0.29899832934106013,0.17917303345658098,0.1887113600739208,0.2061702620414655,0.210957761040832,0.048120804,0.11182434,0.20984121485604434,0.21292682189805792,0.18386048189463666,0.2060197113135421,0.19685084837534045,0.19174389006723405,0.045527674,0.0649224
0.85,0.23627951337127773,0.27266251646662787,0.16585802345092934,0.17387773582622423,0.20106876841110352,0.19680521175530868,0.045811366,0.10144474,0.24108012332614567,0.3220063704670148,0.17774254522094884,0.19705473383059963,0.20941133427354724,0.23748488159281456,0.046626188,0.10355711
0.9,0.2303853146308902,0.2740642145951856,0.18143996536602403,0.20337294065109518,0.2059126399984571,0.21572891849452866,0.045143027,0.075233184,0.2153663065357042,0.2500871461021265,0.17368727983856566,0.19848025616012496,0.19452679318713492,0.19949960699983862,0.033168856,0.040402595
0.95,0.22291577653456693,0.23311942848019798,0.17839504186962807,0.15826776403031662,0.20065540920209748,0.17875127424576584,0.055381242,0.15531877,0.22899394914957,0.26450374901310203,0.16686300721629901,0.14579663052395778,0.1979284781829345,0.18595187556213552,0.05711172,0.18339914
