model,candidate_id,policy,length,seed,med_ung_nrmse_q,med_gui_nrmse_q,med_ung_nrmse_p,med_gui_nrmse_p,ratio_q,ratio_p,prob_q,prob_p
dpf,mode=robust_hamres|steps=50|after=15|before=20|alpha_q=0.005|alpha_p=0.005|trust=0.0|ham_sigma=1.0|ham_delta=1.0,sinusoidal,100,11,0.5639002827794086,0.37066594102560757,0.06955297367372439,0.049333694943629165,0.6573253327674032,0.7092967034746118,0.75,0.9166666666666666
dpf,mode=one_step|steps=30|after=15|before=20|alpha_q=0.01|alpha_p=0.01|trust=0.001,sinusoidal,100,11,0.5639002827794086,0.32570129415724136,0.06955297367372439,0.016258618535779302,0.5775866835034945,0.23375878380195636,0.6666666666666666,1.0
dpf,mode=robust_hamres|steps=30|after=15|before=20|alpha_q=0.01|alpha_p=0.01|trust=0.001|ham_sigma=0.5|ham_delta=2.0,sinusoidal,100,11,0.5639002827794086,0.30608057908591935,0.06955297367372439,0.02432896192641229,0.5427920297845543,0.34979039200452255,0.75,1.0
dpf,mode=robust_hamres|steps=50|after=15|before=20|alpha_q=0.005|alpha_p=0.005|trust=0.001|ham_sigma=0.5|ham_delta=2.0,sinusoidal,100,11,0.5639002827794086,0.26907234795192747,0.06955297367372439,0.0246774063207498,0.4771629952474869,0.3548001619098623,0.75,1.0
dpf,mode=one_step|steps=50|after=10|before=20|alpha_q=0.01|alpha_p=0.01|trust=0.001,sinusoidal,100,11,0.5639002827794086,0.3111533853112732,0.06955297367372439,0.017853415824298578,0.5517879575758128,0.25668803045071265,0.5833333333333334,1.0
dpf,mode=robust_hamres|steps=50|after=10|before=20|alpha_q=0.01|alpha_p=0.01|trust=0.0|ham_sigma=1.0|ham_delta=2.0,sinusoidal,100,11,0.5639002827794086,0.38818508684705455,0.06955297367372439,0.054233708133873515,0.6883931409534478,0.7797467925424135,0.6666666666666666,0.6666666666666666
dpf,mode=robust_hamres|steps=50|after=10|before=20|alpha_q=0.005|alpha_p=0.005|trust=0.0|ham_sigma=0.5|ham_delta=2.0,sinusoidal,100,11,0.5639002827794086,0.27630819223708375,0.06955297367372439,0.024564914354758882,0.48999477509602946,0.3531828052384046,0.75,1.0
dpf,mode=robust_hamres|steps=30|after=15|before=20|alpha_q=0.005|alpha_p=0.005|trust=0.001|ham_sigma=0.5|ham_delta=2.0,sinusoidal,100,11,0.5639002827794086,0.4609133676226592,0.06955297367372439,0.03180413463284968,0.8173667963968078,0.45726491554543836,0.6666666666666666,1.0
dpf,mode=robust_hamres|steps=50|after=10|before=20|alpha_q=0.01|alpha_p=0.01|trust=0.001|ham_sigma=0.5|ham_delta=2.0,sinusoidal,100,11,0.5639002827794086,0.29399233231979605,0.06955297367372439,0.030882043131892127,0.5213551780303017,0.44400751687139867,0.75,0.9166666666666666
dpf,mode=robust_hamres|steps=30|after=10|before=20|alpha_q=0.01|alpha_p=0.01|trust=0.0|ham_sigma=1.0|ham_delta=2.0,sinusoidal,300,10,0.3797492684177398,0.24467037466054975,0.0433901585401609,0.026684003973163492,0.6442945253851082,0.6149782547686571,0.9166666666666666,0.8333333333333334
dpf,mode=one_step|steps=30|after=15|before=20|alpha_q=0.01|alpha_p=0.01|trust=0.0,sinusoidal,300,10,0.3797492684177398,0.20848694725925168,0.0433901585401609,0.025782044615088383,0.5490121103535807,0.5941910673413451,0.9166666666666666,0.5833333333333334
dpf,mode=robust_hamres|steps=30|after=15|before=20|alpha_q=0.01|alpha_p=0.01|trust=0.0|ham_sigma=0.5|ham_delta=2.0,sinusoidal,300,10,0.3797492684177398,0.22140373662111112,0.0433901585401609,0.02316163187136025,0.5830261044178179,0.5337991989571182,0.9166666666666666,0.9166666666666666
dpf,mode=robust_hamres|steps=50|after=15|before=20|alpha_q=0.005|alpha_p=0.005|trust=0.0|ham_sigma=1.0|ham_delta=1.0,sinusoidal,300,10,0.3797492684177398,0.18333644035187405,0.0433901585401609,0.025247680903655735,0.4827828664838833,0.5818757467845406,0.9166666666666666,0.75
dpf,mode=one_step|steps=30|after=15|before=20|alpha_q=0.01|alpha_p=0.01|trust=0.001,sinusoidal,300,10,0.3797492684177398,0.20857331888901776,0.0433901585401609,0.025783380276088633,0.5492395541881032,0.5942218499207407,0.9166666666666666,0.5833333333333334
dpf,mode=robust_hamres|steps=30|after=15|before=20|alpha_q=0.01|alpha_p=0.01|trust=0.001|ham_sigma=0.5|ham_delta=2.0,sinusoidal,300,10,0.3797492684177398,0.22137720411640932,0.0433901585401609,0.02315798773137511,0.5829562359364056,0.5337152135533367,0.9166666666666666,0.9166666666666666
dpf,mode=robust_hamres|steps=50|after=15|before=20|alpha_q=0.005|alpha_p=0.005|trust=0.001|ham_sigma=0.5|ham_delta=2.0,sinusoidal,300,10,0.3797492684177398,0.22440884015012516,0.0433901585401609,0.023702880685409235,0.590939493011126,0.5462731984136544,0.9166666666666666,0.8333333333333334
dpf,mode=one_step|steps=50|after=10|before=20|alpha_q=0.01|alpha_p=0.01|trust=0.001,sinusoidal,300,10,0.3797492684177398,0.18892337084005273,0.0433901585401609,0.0259193732945196,0.4974950225110882,0.5973560403225824,0.9166666666666666,0.6666666666666666
dpf,mode=robust_hamres|steps=50|after=10|before=20|alpha_q=0.01|alpha_p=0.01|trust=0.0|ham_sigma=1.0|ham_delta=2.0,sinusoidal,300,10,0.3797492684177398,0.26606645743958546,0.0433901585401609,0.02769420224456643,0.7006371823918865,0.638259992042512,1.0,0.75
dpf,mode=robust_hamres|steps=50|after=10|before=20|alpha_q=0.005|alpha_p=0.005|trust=0.0|ham_sigma=0.5|ham_delta=2.0,sinusoidal,300,10,0.3797492684177398,0.2229986361095457,0.0433901585401609,0.02353430510716773,0.5872259794961291,0.5423880875057172,0.9166666666666666,0.8333333333333334
dpf,mode=robust_hamres|steps=30|after=15|before=20|alpha_q=0.005|alpha_p=0.005|trust=0.001|ham_sigma=0.5|ham_delta=2.0,sinusoidal,300,10,0.3797492684177398,0.17621189643874516,0.0433901585401609,0.031030099838241745,0.46402168771239033,0.7151414256650163,0.9166666666666666,0.75
dpf,mode=robust_hamres|steps=50|after=10|before=20|alpha_q=0.01|alpha_p=0.01|trust=0.001|ham_sigma=0.5|ham_delta=2.0,sinusoidal,300,10,0.3797492684177398,0.21033346411932746,0.0433901585401609,0.02247814840543208,0.5538745735987883,0.5180471600403773,1.0,0.9166666666666666
dpf,mode=robust_hamres|steps=30|after=10|before=20|alpha_q=0.01|alpha_p=0.01|trust=0.0|ham_sigma=1.0|ham_delta=2.0,sinusoidal,300,11,0.19431655099916267,0.1439540983235273,0.03944586331671473,0.025082827194551925,0.7408226297931132,0.635879787777984,0.8333333333333334,0.8333333333333334
dpf,mode=one_step|steps=30|after=15|before=20|alpha_q=0.01|alpha_p=0.01|trust=0.0,sinusoidal,300,11,0.19431655099916267,0.07584691533039482,0.03944586331671473,0.020302689425363188,0.3903265827866699,0.5146975555421589,0.8333333333333334,0.9166666666666666
dpf,mode=robust_hamres|steps=30|after=15|before=20|alpha_q=0.01|alpha_p=0.01|trust=0.0|ham_sigma=0.5|ham_delta=2.0,sinusoidal,300,11,0.19431655099916267,0.12581401082058155,0.03944586331671473,0.018026157642161783,0.6474693492327562,0.4569847412750986,0.75,0.8333333333333334
dpf,mode=robust_hamres|steps=50|after=15|before=20|alpha_q=0.005|alpha_p=0.005|trust=0.0|ham_sigma=1.0|ham_delta=1.0,sinusoidal,300,11,0.19431655099916267,0.13767309013236909,0.03944586331671473,0.02289351378953426,0.7084990415096567,0.5803780641260144,0.75,0.8333333333333334
